Lon,Lat,GID_0,COUNTRY,NAME_1,ENGTYPE_1,NAME_2,ENGTYPE_2,NAME_3,ENGTYPE_3,NAME_4,ENGTYPE_4
,,CHN,China,Zhejiang,Province,Ningbo,Prefecture City,Xiuzhou,District,,
,,CHN,China,Zhejiang,Province,Ningbo,Prefecture City,Xiuzhou,District,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
,,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
,,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
,,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
,,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
,,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
