materialSampleID,country,ADM0,ADM1,ADM2,ADM3,ADM4,Locality,N,E,date,year,month,day,genus,species,scientific,nativeStatus,susceptibility,basisOfRecord,sampleType,sampleRemarks,diseaseTested,testMethod,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,diagnosticLab,individualCount,specimenDisposition,lifeStage,sex,soilMoisture,tmin,tmax,prec,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,collectorList,Sample_bcid,expeditionCode,projectId,comments
Yuan1118,China,CHN,Zhejiang,Ningbo,Yinzhou,,"Zhejiang, Ningbo, Yinzhou",29.748372,121.73572,8/15/2016,2016,8,15,Echinotriton,chinhaiensis,Echinotriton chinhaiensis,,,,swab,land,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1119,China,CHN,Zhejiang,Ningbo,Yinzhou,,"Zhejiang, Ningbo, Yinzhou",29.748372,121.73572,8/15/2016,2016,8,15,Echinotriton,chinhaiensis,Echinotriton chinhaiensis,,,,swab,land,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1121,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1122,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1124,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1125,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1127,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1128,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1130,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1131,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1133,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1134,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1136,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1137,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1139,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1141,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1143,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1145,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan1147,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
