principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Alessandro Catenazzi,Peru,Peru,2014,,,90.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,1,23,,,,,,,,,,,,30,,560,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw24705bc8b6ae25647f43182cbcea6a985,https://n2t.net/ark:/21547/DSv290.14,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,82.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,1,23,,,,,,,,,,,,30,,566,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2693d1196f58ea4a2691b8adfc04c854f,https://n2t.net/ark:/21547/DSv282.14,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2015,,,303.15,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,1,20,,,,,,,,,,,,30,,915,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2552b848d27be6a451b73ae08e210f41c,https://n2t.net/ark:/21547/DSv2303.15,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,954.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,3,,,,,,,,,,,,30,,930,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2b5fa03a40e750c5abe176e59e078ee44,https://n2t.net/ark:/21547/DSv2954.14,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2013,,,V31.13,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,6,15,,,,,,,,,,,,30,,520,,,,,,,Ethan Baruch & Alessandro Catenazzi,,,,,,,,,adult,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2c07cc2d4798d4ac9a3b4a5737b8463e6,https://n2t.net/ark:/21547/DSv2V31.13,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,278.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,6,3,,,,,,,,,,,,30,,920,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2c6e768b22873e85355c9cb22d6adb7f4,https://n2t.net/ark:/21547/DSv2278.14,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2013,,,V193.13,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,15,,,,,,,,,,,,30,,560,,,,,,,Ethan Baruch & Alessandro Catenazzi,,,,,,,,,adult,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw26d107eddce3311a509982476c327622b,https://n2t.net/ark:/21547/DSv2V193.13,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2013,,,V191.13,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,15,,,,,,,,,,,,30,,560,,,,,,,Ethan Baruch & Alessandro Catenazzi,,,,,,,,,adult,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw284f889c03ef7905eb76e57c8156b5c23,https://n2t.net/ark:/21547/DSv2V191.13,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,956.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,3,,,,,,,,,,,,30,,960,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw240458edb64dac685872cbc2024a42b82,https://n2t.net/ark:/21547/DSv2956.14,bsal-tri,243
Alessandro Catenazzi,Italy,Italy,2015,,,4156,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,18,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2e070519d7169b0c0f5aa97016e76caa9,https://n2t.net/ark:/21547/DSv24156,bsal-tri,243
