principalInvestigator,country,locality,Bsal_area,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Bsal Consortium Germany,Germany,Reichertshausen,,2018,49.314267,9.299841,BsalGer1176 - 6183/6184,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,10,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Reichertshausen,,2018,49.314267,9.299841,BsalGer1177 - 6185/6186,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,10,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Reichertshausen,,2018,49.314267,9.299841,BsalGer1178 - 6187/6188,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,10,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Reichertshausen,,2018,49.314267,9.299841,BsalGer1179 - 6189/6190,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,10,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Mattheiser Wald,,2016,49.719908,6.652989,BsalGer2702 - 142,LivingSpecimen,Triturus,cristatus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,5,3,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Sirzenicher Bach,,2014,49.763169,6.611662,BsalGer1952 - Dry1,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,8,1,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Sirzenicher Bach,,2014,49.763169,6.611662,BsalGer1953 - Dry2,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,8,1,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Sirzenicher Bach,,2014,49.763169,6.611662,BsalGer1954 - Dry3,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,8,1,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ralingen,,2019,49.804369,6.514113,BsalGer6607 - RAL-01,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,3,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ralingen ,,2016,49.810117,6.530386,BsalGer2695 - 62,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ralingen ,,2016,49.810117,6.530386,BsalGer2696 - 63,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ralingen ,,2016,49.810117,6.530386,BsalGer2697 - 64,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Butzweiler,,2019,49.816517,6.614972,BsalGer5346 - Butzweiler 2019-01,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,5,29,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Gutenbach,,2018,49.828069,6.403899,BsalGer0495 - GUT-2018-001,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,5,2,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2015,49.828069,6.403899,BsalGer2317 - 58a,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,5,4,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2015,49.828069,6.403899,BsalGer2318 - 59a,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,5,4,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2015,49.828069,6.403899,BsalGer2319 - 60a,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,5,4,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2015,49.828069,6.403899,BsalGer2320 - 61a,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,5,4,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2606 - 26a und b,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2607 - 27,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2608 - 28,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2609 - 29,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2610 - 30,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2611 - 31,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2612 - 32,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2613 - 33,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2614 - 34,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2615 - 35,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2616 - 36,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2617 - 37,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2618 - 38,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2619 - 39,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2620 - 40,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,BsalGer2621 - 41,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,25,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,BsalGer3430 - 208,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,19,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,BsalGer3431 - 209,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,19,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,BsalGer3432 - 210,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,19,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,BsalGer3433 - 211,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,19,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,BsalGer3434 - 212,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,19,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,BsalGer3435 - 213,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,19,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1695 - M095,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1696 - M096,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1697 - M097,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1698 - M098,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1700 - M100,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1701 - M101,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1702 - M102,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1703 - M103,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1705 - M105,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,BsalGer1706 - M106,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,31,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2018,49.845261,6.389539,BsalGer1707 - WEI-2018-001,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,26,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Weilerbach,,2018,49.845261,6.389539,BsalGer1708 - WEI-2018-002,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,26,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
