scientific,country,rangeStatus,redListCategory,assessmentScope,populationTrend
Alytes obstetricans,Germany,Native,Least Concern,Global & Europe,Decreasing
Alytes obstetricans,Spain,Native,Least Concern,Global & Europe,Decreasing
Alytes obstetricans,United Kingdom,Introduced,Least Concern,Global & Europe,Decreasing
Bombina variegata,Germany,Native,Least Concern,Global & Europe,Decreasing
Bufo bufo,Germany,Native,Least Concern,Global,Decreasing
Bufo spinosus,Spain,Native,Least Concern,Global,Decreasing
Calotriton asper,Spain,Native,Least Concern,Global & Europe,Decreasing
Discoglossus pictus,Spain,Introduced,Least Concern,Global,Stable
Echinotriton chinhaiensis,China,Native,Critically Endangered,Global,Decreasing
Echinotriton maxiquadratus,China,Native,Critically Endangered,Global,Decreasing
Hyla meridionalis,Spain,Origin Uncertain,Least Concern,Global,Decreasing
Hynobius leechii,China,Native,Least Concern,Global,Decreasing
Hypselotriton cyanurus,China,Native,Vulnerable,Global,Decreasing
Hypselotriton fudingensis,China,Native,Critically Endangered,Global,Decreasing
Hypselotriton glaucus,China,Native,Critically Endangered,Global,Decreasing
Hypselotriton orientalis,China,Native,Least Concern,Global,Decreasing
Hypselotriton orphicus,China,Native,Endangered,Global,Decreasing
Ichthyosaura alpestris,Germany,Native,Least Concern,Global & Europe,Decreasing
Ichthyosaura alpestris,Spain,Native,Least Concern,Global & Europe,Decreasing
Ichthyosaura alpestris,Switzerland,Native,Least Concern,Global & Europe,Decreasing
Lissotriton boscai,Spain,Native,Least Concern,Global & Europe,Decreasing
Lissotriton helveticus,Germany,Native,Least Concern,Global & Europe,Decreasing
Lissotriton helveticus,Spain,Native,Least Concern,Global & Europe,Decreasing
Lissotriton vulgaris,Germany,Native,Least Concern,Global & Europe,Stable
Lissotriton vulgaris,Switzerland,Native,Least Concern,Global & Europe,Stable
Pachytriton archospotus,China,Native,Near Threatened,Global,Decreasing
Pachytriton brevipes,China,Native,Least Concern,Global,Decreasing
Pachytriton feii,China,Native,Vulnerable,Global,Decreasing
Pachytriton granulosus,China,Native,Least Concern,Global,Decreasing
Pachytriton inexpectatus,China,Native,Least Concern,Global,Stable
Pachytriton moi,China,Native,Endangered,Global,Unknown
Pachytriton wuguanfui,China,Native,Endangered,Global,Decreasing
Paramesotriton aurantius,China,Native,Vulnerable,Global,Unknown
Paramesotriton caudopunctatus,China,Native,Near Threatened,Global,Decreasing
Paramesotriton chinensis,China,Native,Least Concern,Global,Decreasing
Paramesotriton deloustali,China,Presence Uncertain,Least Concern,Global,Decreasing
Paramesotriton deloustali,Vietnam,Native,Least Concern,Global,Decreasing
Paramesotriton fuzhongensis,China,Native,Vulnerable,Global,Decreasing
Paramesotriton guangxiensis,China,Native,Vulnerable,Global,Decreasing
Paramesotriton guangxiensis,Vietnam,Native,Vulnerable,Global,Decreasing
Paramesotriton hongkongensis,China,Native,Near Threatened,Global,Decreasing
Paramesotriton labiatus,China,Native,Critically Endangered,Global,Decreasing
Paramesotriton qixilingensis,China,Native,Vulnerable,Global,Unknown
Paramesotriton spp.,Vietnam,Native,Unknown,Unknown,Unknown
Paramesotriton yunwuensis,China,Native,Endangered,Global,Decreasing
Paramesotriton zhijinensis,China,Native,Endangered,Global,Decreasing
Pelobates cultripes,Spain,Native,Vulnerable,Global & Europe,Decreasing
Pelophylax perezi,Spain,Native,Least Concern,Global & Europe,Decreasing
Pelophylax spp.,Germany,Unknown,Uknown,Uknown,Uknown
Pelophylax spp.,Spain,Unknown,Uknown,Uknown,Uknown
Pleurodeles waltl,Spain,Native,Least Concern,Global,Decreasing
Rana temporaria,Germany,Native,Least Concern,Global,Stable
Salamandra salamandra,Belgium,Native,Vulnerable,Global & Europe,Decreasing
Salamandra salamandra,Germany,Native,Vulnerable,Global & Europe,Decreasing
Salamandra salamandra,Spain,Native,Vulnerable,Global & Europe,Decreasing
Salamandra salamandra,Switzerland,Native,Vulnerable,Global & Europe,Decreasing
Triturus anatolicus,Spain,Introduced,Least Concern,Global,Unknown
Triturus anatolicus x marmoratus,Spain,Introduced,Unknown,Unknown,Unknown
Triturus carnifex,Switzerland,Native,Vulnerable,Global & Europe,Decreasing
Triturus cristatus,Germany,Native,Least Concern,Global,Decreasing
Triturus marmoratus,Spain,Native,Vulnerable,Global & Europe,Decreasing
Tylototriton anguliceps,Vietnam,Native,Least Concern,Global,Decreasing
Tylototriton asperrimus,China,Native,Near Threatened,Global,Decreasing
Tylototriton asperrimus,Vietnam,Native,Near Threatened,Global,Decreasing
Tylototriton broadoridgus,China,Native,Vulnerable,Global,Stable
Tylototriton dabienicus,China,Native,Endangered,Global,Decreasing
Tylototriton shanjing,China,Native,Vulnerable,Global,Decreasing
Tylototriton spp.,Vietnam,Native,Unknown,Unknown,Unknown
Tylototriton verrucosus,China,Native,Near Threatened,Global,Decreasing
Tylototriton vietnamensis,China,Possibly Native,Vulnerable,Global,Decreasing
Tylototriton vietnamensis,Vietnam,Native,Vulnerable,Global,Decreasing
Tylototriton wenxianensis,China,Native,Vulnerable,Global,Decreasing
Tylototriton yangi,China,Native,Endangered,Global,Decreasing
Tylototriton ziegleri,China,Presence Uncertain,Vulnerable,Global,Decreasing
Tylototriton ziegleri,Vietnam,Native,Vulnerable,Global,Decreasing
Epidalea calamita,Germany,Native,Least Concern,Global & Europe,Decreasing
Pelophylax ridibundus,Germany,Native,Least Concern,Global,Stable
