fid,L1,Lon,Lat,iucn_sr1
1,1,,,13
2,2,,,12
3,3,,,12
4,4,,,13
5,5,,,13
6,6,,,12
7,7,,,13
8,8,,,10
9,9,,,10
10,10,,,10
11,11,,,10
12,12,,,10
13,13,,,10
14,14,,,11
15,15,,,12
16,16,,,15
17,17,,,12
18,18,,,11
19,19,,,11
20,20,,,12
21,21,,,12
22,22,,,12
23,23,,,10
24,24,,,10
25,25,,,10
26,26,,,10
27,27,,,10
28,28,,,10
29,29,,,11
30,30,,,10
31,31,,,10
32,32,,,10
33,33,,,11
34,34,,,12
35,35,,,12
36,36,,,11
37,37,,,13
38,38,,,13
39,39,,,13
40,40,,,10
41,41,,,10
42,42,,,10
43,43,,,12
44,44,,,13
45,45,,,12
46,46,,,12
47,47,,,12
48,48,,,10
49,49,,,10
50,50,,,10
51,51,,,13
52,52,,,13
53,53,,,13
54,54,,,13
55,55,,,13
56,56,,,11
57,57,,,12
58,58,,,9
59,59,,,9
60,60,,,9
61,61,,,10
62,62,,,10
63,63,,,10
64,64,,,15
65,65,,,11
66,66,,,12
67,67,,,13
68,68,,,13
69,69,,,12
70,70,,,7
71,71,,,7
72,72,,,7
73,73,,,7
74,74,,,7
75,75,,,7
76,76,,,7
77,77,,,7
78,78,,,7
79,79,,,7
80,80,,,7
81,81,,,7
82,82,,,7
83,83,,,7
84,84,,,7
85,85,,,7
86,86,,,7
87,87,,,7
88,88,,,7
89,89,,,7
90,90,,,7
91,91,,,7
92,92,,,7
93,93,,,7
94,94,,,7
95,95,,,7
96,96,,,7
97,97,,,7
98,98,,,7
99,99,,,7
100,100,,,7
101,101,,,7
102,102,,,7
103,103,,,7
104,104,,,7
105,105,,,7
106,106,,,7
107,107,,,7
108,108,,,7
109,109,,,7
110,110,,,7
111,111,,,7
112,112,,,7
113,113,,,7
114,114,,,7
115,115,,,7
116,116,,,7
117,117,,,7
118,118,,,7
119,119,,,7
120,120,,,7
121,121,,,7
122,122,,,7
123,123,,,7
124,124,,,7
125,125,,,7
126,126,,,7
127,127,,,7
128,128,,,7
129,129,,,7
130,130,,,7
131,131,,,7
132,132,,,7
133,133,,,7
134,134,,,7
135,135,,,7
136,136,,,7
137,137,,,7
138,138,,,7
139,139,,,7
140,140,,,7
141,141,,,7
142,142,,,7
143,143,,,7
144,144,,,7
145,145,,,7
146,146,,,7
147,147,,,7
148,148,,,7
149,149,,,7
150,150,,,7
151,151,,,7
152,152,,,7
153,153,,,7
154,154,,,7
155,155,,,7
156,156,,,7
157,157,,,7
158,158,,,7
159,159,,,7
160,160,,,7
161,161,,,7
162,162,,,7
163,163,,,7
164,164,,,7
165,165,,,7
166,166,,,7
167,167,,,7
168,168,,,7
169,169,,,7
170,170,,,7
171,171,,,7
172,172,,,7
173,173,,,7
174,174,,,7
175,175,,,7
176,176,,,7
177,177,,,7
178,178,,,7
179,179,,,7
180,180,,,7
181,181,,,7
182,182,,,7
183,183,,,7
184,184,,,7
185,185,,,7
186,186,,,7
187,187,,,7
188,188,,,7
189,189,,,7
190,190,,,7
191,191,,,7
192,192,,,7
193,193,,,7
194,194,,,7
195,195,,,7
196,196,,,7
197,197,,,7
198,198,,,7
199,199,,,7
200,200,,,7
201,201,,,7
202,202,,,7
203,203,,,7
204,204,,,7
205,205,,,7
206,206,,,7
207,207,,,7
208,208,,,7
209,209,,,7
210,210,,,7
211,211,,,7
212,212,,,7
213,213,,,7
214,214,,,7
215,215,,,7
216,216,,,7
217,217,,,7
218,218,,,7
219,219,,,7
220,220,,,7
221,221,,,7
222,222,,,7
223,223,,,7
224,224,,,7
225,225,,,7
226,226,,,7
227,227,,,7
228,228,,,7
229,229,,,7
230,230,,,7
231,231,,,7
232,232,,,7
233,233,,,7
234,234,,,7
235,235,,,7
236,236,,,7
237,237,,,7
238,238,,,7
239,239,,,7
240,240,,,7
241,241,,,7
242,242,,,7
243,243,,,7
244,244,,,7
245,245,,,7
246,246,,,7
247,247,,,7
248,248,,,7
249,249,,,7
250,250,,,7
251,251,,,7
252,252,,,7
253,253,,,7
254,254,,,7
255,255,,,7
256,256,,,7
257,257,,,7
258,258,,,7
259,259,,,7
260,260,,,7
261,261,,,7
262,262,,,7
263,263,,,7
264,264,,,7
265,265,,,7
266,266,,,7
267,267,,,7
268,268,,,7
269,269,,,7
270,270,,,7
271,271,,,7
272,272,,,7
273,273,,,7
274,274,,,7
275,275,,,7
276,276,,,7
277,277,,,7
278,278,,,7
279,279,,,7
280,280,,,7
281,281,,,7
282,282,,,7
283,283,,,7
284,284,,,7
285,285,,,7
286,286,,,7
287,287,,,7
288,288,,,7
289,289,,,7
290,290,,,7
291,291,,,7
292,292,,,7
293,293,,,7
294,294,,,7
295,295,,,7
296,296,,,7
297,297,,,7
298,298,,,7
299,299,,,7
300,300,,,7
301,301,,,7
302,302,,,7
303,303,,,7
304,304,,,7
305,305,,,7
306,306,,,7
307,307,,,7
308,308,,,7
309,309,,,7
310,310,,,7
311,311,,,7
312,312,,,7
313,313,,,7
314,314,,,7
315,315,,,7
316,316,,,7
317,317,,,7
318,318,,,7
319,319,,,7
320,320,,,7
321,321,,,7
322,322,,,7
323,323,,,7
324,324,,,7
325,325,,,7
326,326,,,7
327,327,,,7
328,328,,,7
329,329,,,7
330,330,,,7
331,331,,,7
332,332,,,7
333,333,,,7
334,334,,,7
335,335,,,16
336,336,,,16
337,337,,,16
338,338,,,16
339,339,,,16
340,340,,,16
341,341,,,16
342,342,,,16
343,343,,,15
344,344,,,14
345,345,,,14
346,346,,,14
347,347,,,14
348,348,,,13
349,349,,,13
350,350,,,13
351,351,,,13
352,352,,,13
353,353,,,13
354,354,,,13
355,355,,,13
356,356,,,13
357,357,,,13
358,358,,,13
359,359,,,13
360,360,,,13
361,361,,,13
362,362,,,13
363,363,,,13
364,364,,,13
365,365,,,13
366,366,,,15
367,367,,,13
368,368,,,13
369,369,,,13
370,370,,,15
371,371,,,15
372,372,,,15
373,373,,,15
374,374,,,15
375,375,,,15
376,376,,,15
377,377,,,15
378,378,,,15
379,379,,,15
380,380,,,15
381,381,,,15
382,382,,,15
383,383,,,15
384,384,,,15
385,385,,,15
386,386,,,15
387,387,,,15
388,388,,,15
389,389,,,15
390,390,,,15
391,391,,,15
392,392,,,15
393,393,,,15
394,394,,,14
395,395,,,14
396,396,,,14
