principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Steven Allain,United Kingdom,"Cambridge, England",2016,,,7A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,22,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2800c5985e2725468aa37f594247af217,https://n2t.net/ark:/21547/DTL27A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2016,,,6A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,22,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM23156b6d7d22c0ad2b6e6c424a73ebe6f,https://n2t.net/ark:/21547/DTL26A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,36A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,27,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2d0e2df2ef617288be7ce3a6ee6c53294,https://n2t.net/ark:/21547/DTL236A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,37A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,27,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM252004b756867d8f5fc96daebc5e87643,https://n2t.net/ark:/21547/DTL237A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,33A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,27,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM245262d97b59d3eea1304abfbc9568bca,https://n2t.net/ark:/21547/DTL233A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,38A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,27,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM25c4d966575ef50bd41f44bdac4bcf23d,https://n2t.net/ark:/21547/DTL238A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,34A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,27,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM230a680a0cc72c29ab2472e63d19066d6,https://n2t.net/ark:/21547/DTL234A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,35A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,27,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2a5dcac499d45bf42e17b921d27c523c0,https://n2t.net/ark:/21547/DTL235A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2016,,,2A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,14,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2d56331ec3c94e0b8cdf592be2e7e7896,https://n2t.net/ark:/21547/DTL22A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2016,,,3A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,14,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM218447c7fccc371d7e984551480e7974e,https://n2t.net/ark:/21547/DTL23A,cambridge,248
