materialSampleID,country,ADM0,ADM1,ADM2,N_start,E_start,N_end,E_end,date,year,month,day,genus,species,scientific,nativeStatus,susceptibility,basisOfRecord,sampleType,sampleRemarks,diseaseTested,testMethod,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,diagnosticLab,individualCount,specimenDisposition,lifeStage,sex,collectorList,Sample_bcid,expeditionCode,projectId,comments
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6 ,Bsal/Bd,qPCR,0,0,,,,,,,,M,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6 ,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,"Very wide head,Hai took as sample"
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 6,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,Regenerated tail
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 7,Bsal/Bd,qPCR,0,1,,23,,,,,,M,,,,,Shedding
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 7,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 7,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 7,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 7,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/12/2016,2016,6,12,Tylototriton,anguliceps,Tylototriton anguliceps,,,,,pond 7,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 1,Bsal/Bd,qPCR,0,0,,,,,,,,M,,,,,Ranger took
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 1,Bsal/Bd,qPCR,0,0,,,,,,,,M,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,M,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,Shedding
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,Shedding
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 2,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,0,,,,,,,,M,,,,,Patchy stomach
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,1,,21 8,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,Patchy
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,Patchy
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,
,Vietnam,VNM,Hòa Bình ,,,,,,6/11/2016,2016,6,11,Tylototriton,asperrimus,Tylototriton asperrimus ,,,,,pond 3,Bsal/Bd,qPCR,0,0,,,,,,,,,,,,,Cloaca injury
