Lat,Lon,timepoint,year,month,day
,,t0,2018,10,28
,,t4,2018,10,24
,,t8,2018,10,20
,,t9,2018,10,19
,,t10,2018,10,18
,,t11,2018,10,17
,,t12,2018,10,16
,,t13,2018,10,15
,,t14,2018,10,14
,,t15,2018,10,13
,,t16,2018,10,12
,,t17,2018,10,11
,,t18,2018,10,10
,,t19,2018,10,9
,,t20,2018,10,8
,,t21,2018,10,7
,,t22,2018,10,6
,,t23,2018,10,5
,,t24,2018,10,4
,,t25,2018,10,3
,,t26,2018,10,2
,,t27,2018,10,1
,,t28,2018,9,30
,,t0,2016,5,3
,,t4,2016,4,29
,,t8,2016,4,25
,,t9,2016,4,24
,,t10,2016,4,23
,,t11,2016,4,22
,,t12,2016,4,21
,,t13,2016,4,20
,,t14,2016,4,19
,,t15,2016,4,18
,,t16,2016,4,17
,,t17,2016,4,16
,,t18,2016,4,15
,,t19,2016,4,14
,,t20,2016,4,13
,,t21,2016,4,12
,,t22,2016,4,11
,,t23,2016,4,10
,,t24,2016,4,9
,,t25,2016,4,8
,,t26,2016,4,7
,,t27,2016,4,6
,,t28,2016,4,5
,,t0,2014,8,1
,,t4,2014,7,28
,,t8,2014,7,24
,,t9,2014,7,23
,,t10,2014,7,22
,,t11,2014,7,21
,,t12,2014,7,20
,,t13,2014,7,19
,,t14,2014,7,18
,,t15,2014,7,17
,,t16,2014,7,16
,,t17,2014,7,15
,,t18,2014,7,14
,,t19,2014,7,13
,,t20,2014,7,12
,,t21,2014,7,11
,,t22,2014,7,10
,,t23,2014,7,9
,,t24,2014,7,8
,,t25,2014,7,7
,,t26,2014,7,6
,,t27,2014,7,5
,,t28,2014,7,4
,,t0,2019,6,3
,,t4,2019,5,30
,,t8,2019,5,26
,,t9,2019,5,25
,,t10,2019,5,24
,,t11,2019,5,23
,,t12,2019,5,22
,,t13,2019,5,21
,,t14,2019,5,20
,,t15,2019,5,19
,,t16,2019,5,18
,,t17,2019,5,17
,,t18,2019,5,16
,,t19,2019,5,15
,,t20,2019,5,14
,,t21,2019,5,13
,,t22,2019,5,12
,,t23,2019,5,11
,,t24,2019,5,10
,,t25,2019,5,9
,,t26,2019,5,8
,,t27,2019,5,7
,,t28,2019,5,6
,,t0,2016,3,28
,,t4,2016,3,24
,,t8,2016,3,20
,,t9,2016,3,19
,,t10,2016,3,18
,,t11,2016,3,17
,,t12,2016,3,16
,,t13,2016,3,15
,,t14,2016,3,14
,,t15,2016,3,13
,,t16,2016,3,12
,,t17,2016,3,11
,,t18,2016,3,10
,,t19,2016,3,9
,,t20,2016,3,8
,,t21,2016,3,7
,,t22,2016,3,6
,,t23,2016,3,5
,,t24,2016,3,4
,,t25,2016,3,3
,,t26,2016,3,2
,,t27,2016,3,1
,,t28,2016,2,29
,,t0,2019,5,29
,,t4,2019,5,25
,,t8,2019,5,21
,,t9,2019,5,20
,,t10,2019,5,19
,,t11,2019,5,18
,,t12,2019,5,17
,,t13,2019,5,16
,,t14,2019,5,15
,,t15,2019,5,14
