"country","decimalLatitude","decimalLongitude","Site","yearCollected","monthCollected","dayCollected","date","date_t1","date_t2","genus","species","scientific","susceptibility","BdDetected","BsalDetected","fatal","sppAbun","siteAbun","richness","alphadiv","soilMoisture_date","soilMoisture_date_t1","soilMoisture_date_t2","temp_date","temp_date_t1","temp_date_t2"
"Belgium",50.549875,5.719057,201,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,32,32,1,0.693147180559945,NA,NA,NA,NA,NA,NA
"Belgium",50.087187,4.407116,101,NA,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.406823,4.923994,183,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.700243,5.690341,259,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0.693147180559945,NA,NA,NA,NA,NA,NA
"Belgium",50.404263,4.780233,182,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,33,33,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.415491,5.794612,185,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,22,22,1,0,NA,NA,NA,NA,NA,NA
"Belgium",51.000457,4.21608,322,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",51.000457,4.21608,322,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,60,60,1,0.693147180559945,NA,NA,NA,NA,NA,NA
"Belgium",51.000457,4.21608,322,2015,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.807351,3.703245,309,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.807351,3.703245,322,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,60,60,1,0.693147180559945,NA,NA,NA,NA,NA,NA
"Belgium",50.807351,3.703245,309,2015,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.216981,4.89063,201,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","1",NA,32,32,1,0.693147180559945,NA,NA,NA,NA,NA,NA
"Belgium",50.50957,5.52347,194,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,15,15,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.624164,6.089526,227,2013,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","1",NA,2,2,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.514141,5.33748,195,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,33,33,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.2158,4.956019,124,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,42,42,1,0.693147180559945,NA,NA,NA,NA,NA,NA
"Belgium",50.59676,4.53146,223,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,16,16,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.413149,5.020961,184,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,28,28,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.565628,5.330764,207,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,31,31,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.778471,3.761597,305,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.778471,3.761597,305,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.778471,3.761597,305,2015,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
