"country","ADM0","ADM1","ADM2","decimalLatitude","decimalLongitude","Site","yearCollected","monthCollected","dayCollected","date","date_t1","date_t2","materialSampleID","genus","species","scientific","susceptibility","nativeStatus","lifeStage","sex","individualCount","diseaseTested","BdDetected","BsalDetected","BdLoad","BsalLoad","fatal","specimenFate","basisOfRecord","richness","sppAbun","siteAbun","alphadiv","soilMoisture_date","soilMoisture_date_t1","soilMoisture_date_t2","temp_date","temp_date_t1","temp_date_t2","sampleType","testMethod","diagnosticLab","sampleRemarks","principalInvestigator","collectorList","expeditionCode","projectId"
"Belgium","BEL","WALLONIE","LIÈGE",50.549875,5.719057,201,2016,NA,NA,NA,NA,NA,"2016_BEL_10","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",31,"Bsal","0","0",NA,NA,NA,NA,NA,1,32,32,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","NAMUR",50.087187,4.407116,101,NA,NA,NA,NA,NA,NA,"BEL_01","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",30,"Bsal","0","0",NA,NA,NA,NA,NA,1,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","NAMUR",50.406823,4.923994,183,2017,NA,NA,NA,NA,NA,"2017_BEL_01","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",30,"Bsal","0","0",NA,NA,NA,NA,NA,1,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","LIÈGE",50.700243,5.690341,259,2017,NA,NA,NA,NA,NA,"2017_BEL_02","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",15,"Bsal","0","0",NA,NA,NA,NA,NA,1,30,30,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","LIÈGE",50.700243,5.690341,259,2017,NA,NA,NA,NA,NA,"2017_BEL_03","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",15,"Bsal","0","0",NA,NA,NA,NA,NA,1,30,30,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","NAMUR",50.404263,4.780233,182,2017,NA,NA,NA,NA,NA,"2017_BEL_04","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",33,"Bsal","0","0",NA,NA,NA,NA,NA,1,33,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","LIÈGE",50.415491,5.794612,185,2017,NA,NA,NA,NA,NA,"2017_BEL_05","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",22,"Bsal","0","0",NA,NA,NA,NA,NA,1,22,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","VLAANDEREN","OOST-VLAANDEREN",51.000457,4.21608,322,2017,NA,NA,NA,NA,NA,"2017_BEL_06","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",30,"Bsal","0","0",NA,NA,NA,NA,NA,1,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","VLAANDEREN","OOST-VLAANDEREN",51.000457,4.21608,322,2016,NA,NA,NA,NA,NA,"2016_BEL_11","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",30,"Bsal","0","0",NA,NA,NA,NA,NA,1,60,60,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","VLAANDEREN","OOST-VLAANDEREN",51.000457,4.21608,322,2015,NA,NA,NA,NA,NA,"2015_BEL_09","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",30,"Bsal","0","0",NA,NA,NA,NA,NA,1,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","VLAANDEREN","OOST-VLAANDEREN",50.807351,3.703245,309,2017,NA,NA,NA,NA,NA,"2017_BEL_07","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",30,"Bsal","0","0",NA,NA,NA,NA,NA,1,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","VLAANDEREN","OOST-VLAANDEREN",50.807351,3.703245,322,2016,NA,NA,NA,NA,NA,"2016_BEL_11","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",30,"Bsal","0","0",NA,NA,NA,NA,NA,1,60,60,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","VLAANDEREN","OOST-VLAANDEREN",50.807351,3.703245,309,2015,NA,NA,NA,NA,NA,"2015_BEL_10","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",30,"Bsal","0","0",NA,NA,NA,NA,NA,1,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","LIÈGE",50.216981,4.89063,201,2016,NA,NA,NA,NA,NA,"2016_BEL_10","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",1,"Bsal","0","1",NA,NA,NA,NA,NA,1,32,32,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","LIÈGE",50.50957,5.52347,194,2017,NA,NA,NA,NA,NA,"2017_BEL_08","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",15,"Bsal","0","0",NA,NA,NA,NA,NA,1,15,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","LIÈGE",50.624164,6.089526,227,2013,NA,NA,NA,NA,NA,"2013_BEL_01","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",2,"Bsal","0","1",NA,NA,NA,NA,NA,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","LIÈGE",50.514141,5.33748,195,2017,NA,NA,NA,NA,NA,"2017_BEL_09","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",33,"Bsal","0","0",NA,NA,NA,NA,NA,1,33,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","NAMUR",50.2158,4.956019,124,2017,NA,NA,NA,NA,NA,"2017_BEL_10","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",27,"Bsal","0","0",NA,NA,NA,NA,NA,1,42,42,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","NAMUR",50.2158,4.956019,124,2017,NA,NA,NA,NA,NA,"2017_BEL_11","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",15,"Bsal","0","0",NA,NA,NA,NA,NA,1,42,42,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
"Belgium","BEL","WALLONIE","BRABANT WALLON",50.59676,4.53146,223,2017,NA,NA,NA,NA,NA,"2017_BEL_12","Salamandra","salamandra","Salamandra salamandra",3,NA,"","",16,"Bsal","0","0",NA,NA,NA,NA,NA,1,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema",NA,NA,NA
