"continent","country","Lat","Lon","Site","posSite","date","richness","iucn_rich","iucn_rwr","sppAbun","siteAbun","genus","scientific","susceptibility","rangeStatus","redListCategory","nPos_FS","nNeg_FS","nDead_FS","nAlive_FS","nFatalUnk_FS","nPos_all","nNeg_all","nDead_all","nAlive_all","nFatalUnk_all","nPos_all_noFS","nNeg_all_noFS","nDead_all_noFS","nAlive_all_noFS","nFatalUnk_all_noFS","temp_m2","temp_m1","temp_wk3","temp_wk2","temp_wk1","temp_d4","temp_d","sMoist_m2","sMoist_m1","sMoist_wk3","sMoist_wk2","sMoist_wk1","sMoist_d4","sMoist_d","tmin_wc","tavg_wc","tmax_wc","prec_wc","bio1_wc","bio2_wc","bio3_wc","bio4_wc","bio5_wc","bio6_wc","bio7_wc","bio8_wc","bio9_wc","bio10_wc","bio11_wc","bio12_wc","bio13_wc","bio14_wc","bio15_wc","bio16_wc","bio17_wc","bio18_wc","bio19_wc","diagnosticLab","principalInvestigator","collectorList","expeditionCode"
"Asia","Vietnam",20.9638888888889,105.133888888889,1,"1",2016-06-11,1,56,0.49850937,1,1,"Tylototriton","Tylototriton asperrimus",2,"Native","Near Threatened",0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,26.017541503906,27.81044921875,25.369295828683,25.4211539132255,28.2938563755582,27.407556152344,28.825158691406,6.99453210830688,7.01010322570801,6.96144608088902,7.49874646323068,7.24475526809692,7.25144052505493,7.07113409042358,23.9680004119873,27.4200000762939,30.8719997406006,19.2,22.1346664428711,6.56999969482422,34.520809173584,465.246520996094,30.8719997406006,11.8400001525879,19.0319995880127,26.6200008392334,16.0146675109863,27.191333770752,16.0146675109863,159.3,31.2,0.7,9.13425140380859,90.8,4.8,78.8,4.8,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
"Asia","Vietnam",20.9638888888889,105.134166666667,2,"1",2016-06-11,1,56,0.49850937,1,1,"Tylototriton","Tylototriton asperrimus",2,"Native","Near Threatened",0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,26.017541503906,27.81044921875,25.369295828683,25.4211539132255,28.2938563755582,27.407556152344,28.825158691406,6.99453210830688,7.01010322570801,6.96144608088902,7.49874646323068,7.24475526809692,7.25144052505493,7.07113409042358,23.9680004119873,27.4200000762939,30.8719997406006,19.2,22.1346664428711,6.56999969482422,34.520809173584,465.246520996094,30.8719997406006,11.8400001525879,19.0319995880127,26.6200008392334,16.0146675109863,27.191333770752,16.0146675109863,159.3,31.2,0.7,9.13425140380859,90.8,4.8,78.8,4.8,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
"Asia","Vietnam",20.9852777777778,105.1625,3,"1",2016-06-11,1,56,0.49850937,13,13,"Tylototriton","Tylototriton asperrimus",2,"Native","Near Threatened",0,0,0,0,0,0,13,0,0,13,0,13,0,0,13,26.017541503906,27.81044921875,25.369295828683,25.4211539132255,28.2938563755582,27.407556152344,28.825158691406,6.99453210830688,7.01010322570801,6.96144608088902,7.49874646323068,7.24475526809692,7.25144052505493,7.07113409042358,23.9680004119873,27.4200000762939,30.8719997406006,19.2,22.1346664428711,6.56999969482422,34.520809173584,465.246520996094,30.8719997406006,11.8400001525879,19.0319995880127,26.6200008392334,16.0146675109863,27.191333770752,16.0146675109863,159.3,31.2,0.7,9.13425140380859,90.8,4.8,78.8,4.8,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
"Asia","Vietnam",20.99,105.158888888889,4,"1",2016-06-11,1,56,0.49850937,13,13,"Tylototriton","Tylototriton asperrimus",2,"Native","Near Threatened",0,0,0,0,0,1,12,0,0,13,1,12,0,0,13,26.017541503906,27.81044921875,25.369295828683,25.4211539132255,28.2938563755582,27.407556152344,28.825158691406,6.99453210830688,7.01010322570801,6.96144608088902,7.49874646323068,7.24475526809692,7.25144052505493,7.07113409042358,23.9680004119873,27.4200000762939,30.8719997406006,19.2,22.1346664428711,6.56999969482422,34.520809173584,465.246520996094,30.8719997406006,11.8400001525879,19.0319995880127,26.6200008392334,16.0146675109863,27.191333770752,16.0146675109863,159.3,31.2,0.7,9.13425140380859,90.8,4.8,78.8,4.8,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
"Asia","Vietnam",20.9919444444444,105.16,5,"1",2016-06-11,1,56,0.49850937,1,1,"Tylototriton","Tylototriton asperrimus",2,"Native","Near Threatened",0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,26.017541503906,27.81044921875,25.369295828683,25.4211539132255,28.2938563755582,27.407556152344,28.825158691406,6.99453210830688,7.01010322570801,6.96144608088902,7.49874646323068,7.24475526809692,7.25144052505493,7.07113409042358,23.9680004119873,27.4200000762939,30.8719997406006,19.2,22.1346664428711,6.56999969482422,34.520809173584,465.246520996094,30.8719997406006,11.8400001525879,19.0319995880127,26.6200008392334,16.0146675109863,27.191333770752,16.0146675109863,159.3,31.2,0.7,9.13425140380859,90.8,4.8,78.8,4.8,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
"Asia","Vietnam",20.9919444444444,105.160277777778,6,"1",2016-06-11,1,56,0.49850937,1,1,"Tylototriton","Tylototriton asperrimus",2,"Native","Near Threatened",0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,26.017541503906,27.81044921875,25.369295828683,25.4211539132255,28.2938563755582,27.407556152344,28.825158691406,6.99453210830688,7.01010322570801,6.96144608088902,7.49874646323068,7.24475526809692,7.25144052505493,7.07113409042358,23.9680004119873,27.4200000762939,30.8719997406006,19.2,22.1346664428711,6.56999969482422,34.520809173584,465.246520996094,30.8719997406006,11.8400001525879,19.0319995880127,26.6200008392334,16.0146675109863,27.191333770752,16.0146675109863,159.3,31.2,0.7,9.13425140380859,90.8,4.8,78.8,4.8,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
"Asia","Vietnam",21.215,107.148888888889,9,"1",2016-05-05,1,41,0.61972606,1,1,"Tylototriton","Tylototriton vietnamensis",2,"Native","Vulnerable",0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,19.397485351562,25.577203369141,24.6319213867187,24.8204459054132,24.8360883440289,25.342401123047,27.036553955078,7.50317859649658,7.441734790802,6.82620341437203,6.78265701021467,6.84013475690569,6.75223875045776,6.69232702255249,22.3999996185303,25.6200008392334,28.8400001525879,22.1,21.9791660308838,6.39099979400635,33.7362747192383,479.483306884766,30.4479999542236,11.503999710083,18.9440002441406,26.7259998321533,16.8266658782959,27.1199989318848,15.5933332443237,197.5,45.1,1.6,9.34911270141602,113.1,7.9,112.6,8.7,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
"Asia","Vietnam",21.2858333333333,107.126388888889,10,"1",2016-05-05,1,41,0.61972606,10,10,"Tylototriton","Tylototriton vietnamensis",2,"Native","Vulnerable",0,0,0,0,0,0,10,0,0,10,0,10,0,0,10,19.397485351562,25.577203369141,25.7528451102122,25.827076939174,25.6540291922435,26.017877197266,27.580682373047,7.50317859649658,7.441734790802,6.9449405670166,6.88160262789045,6.94992651258196,6.87014532089233,6.81084632873535,22.2719993591309,25.496000289917,28.6919994354248,21.4,21.83766746521,6.38933277130127,33.6564102172852,480.503021240234,30.3080005645752,11.3240003585815,18.984001159668,26.6046676635742,16.6613330841064,26.992000579834,15.4353332519531,188,41.6,1.6,9.14333038330078,106,7.9,105.7,8.7,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
"Asia","Vietnam",21.3066666666667,106.809722222222,11,"1",2016-04-26,1,41,0.38180917,12,12,"Tylototriton","Tylototriton vietnamensis",2,"Native","Vulnerable",0,0,0,0,0,0,12,0,0,12,0,12,0,0,12,12.681787109375,18.703363037109,22.0128853934152,25.1284903390067,26.3042933872769,24.699151611328,27.2630859375,7.28006219863892,7.03227949142456,7.05549832752773,6.9970771244594,6.90903288977487,6.94591903686523,6.96108531951904,20.2479991912842,23.2639999389648,26.2919998168945,7.8,22.8191661834717,6.71099996566772,34.6499366760254,481.259063720703,31.6119995117188,12.2439994812012,19.3680000305176,28.0273342132568,17.6173324584961,28.0273342132568,16.4113330841064,160.9,34.1,0.9,9.0381591796875,90.9,5.8,90.9,6.7,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
"Asia","Vietnam",21.3677777777778,106.668611111111,12,"1",2016-05-01,1,43,0.27312432,34,34,"Tylototriton","Tylototriton vietnamensis",2,"Native","Vulnerable",0,0,0,0,0,0,34,0,0,34,0,34,0,0,34,18.703363037109,24.351892089844,25.3052132742743,27.4701564243863,25.2122392926897,26.215112304688,26.635949707031,7.03227949142456,7.04617118835449,7.11538532802037,6.98748717989241,7.06204468863351,7.02795362472534,6.96533441543579,23.3400001525879,26.9440002441406,30.57200050354,21.2,23.2439994812012,7.08266639709473,35.799976348877,480.880157470703,32.2039985656738,12.4200000762939,19.7839984893799,28.4559993743896,18.042667388916,28.4559993743896,16.8553333282471,155.4,33,1,8.86925964355469,87,5.9,87,6.7,"Nguyen/Pasmans","Nguyen","A. Laking; H.N. Ngo; T.T. Nguyen","Laking_2016"
