Lon,Lat,GID_0,COUNTRY,NAME_1,ENGTYPE_1,NAME_2,ENGTYPE_2,NAME_3,ENGTYPE_3,NAME_4,ENGTYPE_4
121.73572,29.748372,CHN,China,Zhejiang,Province,Ningbo,Prefecture City,Xiuzhou,District,,
121.73572,29.748372,CHN,China,Zhejiang,Province,Ningbo,Prefecture City,Xiuzhou,District,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
116.35203,24.176582,CHN,China,Guangdong,Province,Meizhou,Prefecture City,Fengshun,County,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
114.1984,22.59101,CHN,China,Guangdong,Province,Shenzhen,Prefecture City,Bao'an,District,,
119.94339,27.24886,CHN,China,Fujian,Province,Ningde,Prefecture City,Zherong,County,,
119.94339,27.24886,CHN,China,Fujian,Province,Ningde,Prefecture City,Zherong,County,,
119.94339,27.24886,CHN,China,Fujian,Province,Ningde,Prefecture City,Zherong,County,,
119.94339,27.24886,CHN,China,Fujian,Province,Ningde,Prefecture City,Zherong,County,,
119.94339,27.24886,CHN,China,Fujian,Province,Ningde,Prefecture City,Zherong,County,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
120.16697,27.1159,CHN,China,Fujian,Province,Ningde,Prefecture City,Fuding,County City,,
