materialSampleID,country,ADM0,ADM1,ADM2,ADM3,ADM4,Locality,N,E,date,year,month,day,genus,species,scientific,nativeStatus,susceptibility,basisOfRecord,sampleType,sampleRemarks,diseaseTested,testMethod,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,diagnosticLab,individualCount,specimenDisposition,lifeStage,sex,soilMoisture,tmin,tmax,prec,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,collectorList,Sample_bcid,expeditionCode,projectId,comments
,China,CHN,Zhejiang,Ningbo,Yinzhou,,"Zhejiang, Ningbo, Yinzhou",29.748372,121.73572,8/15/2016,2016,8,15,Echinotriton,chinhaiensis,Echinotriton chinhaiensis,,,,swab,land,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,CHN,Zhejiang,Ningbo,Yinzhou,,"Zhejiang, Ningbo, Yinzhou",29.748372,121.73572,8/15/2016,2016,8,15,Echinotriton,chinhaiensis,Echinotriton chinhaiensis,,,,swab,land,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,CHN,Guangdong,Meizhou,Tongguzhang,,"Guangdong, Meizhou, Tongguzhang",24.176582,116.35203,8/17/2016,2016,8,17,Cynops,glaucus,Cynops glaucus,,,,swab,pool,Bsal,qPCR,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
