principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Bsal Consortium Germany,Germany,Wassenberger Wald,2017,51.099426,6.167827,BsalGer3643_WW03,LivingSpecimen,Lissotriton,vulgaris,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,7,6,,,,Universities Trier and Braunschweig,,,,,,7/6/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2c9b4e64f481ab302cbaa4da80314c881,https://n2t.net/ark:/21547/Dgt2BsalGer3643_WW03,2014-2020,354
Bsal Consortium Germany,Germany,Wassenberger Wald,2017,51.099426,6.167827,BsalGer3641_WW01,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,7,6,,,,Universities Trier and Braunschweig,,,,,,7/6/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2f1a44ebd515c8610eeaa9fdf1c260a57,https://n2t.net/ark:/21547/Dgt2BsalGer3641_WW01,2014-2020,354
Bsal Consortium Germany,Germany,Wassenberger Wald,2017,51.099426,6.167827,BsalGer3642_WW02,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,7,6,,,,Universities Trier and Braunschweig,,,,,,7/6/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu299559445bc44859e434b61cb07730fe0,https://n2t.net/ark:/21547/Dgt2BsalGer3642_WW02,2014-2020,354
Bsal Consortium Germany,Germany,Wassenberger Wald,2017,51.099426,6.167827,BsalGer3647_WW07,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,7,6,,,,Universities Trier and Braunschweig,,,,,,7/6/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2e3258c7495206a3942da018f23f0c59d,https://n2t.net/ark:/21547/Dgt2BsalGer3647_WW07,2014-2020,354
Bsal Consortium Germany,Germany,Wassenberger Wald,2017,51.099426,6.167827,BsalGer3648_WW08,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,7,6,,,,Universities Trier and Braunschweig,,,,,,7/6/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu22cfea0e1067c38337267df6f9a0535a8,https://n2t.net/ark:/21547/Dgt2BsalGer3648_WW08,2014-2020,354
Bsal Consortium Germany,Germany,Wassenberger Wald,2017,51.099426,6.167827,BsalGer3646_WW06,LivingSpecimen,Lissotriton,vulgaris,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,7,6,,,,Universities Trier and Braunschweig,,,,,,7/6/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu27484f7eedd532df04d2856e781761b76,https://n2t.net/ark:/21547/Dgt2BsalGer3646_WW06,2014-2020,354
Bsal Consortium Germany,Germany,Wassenberger Wald,2017,51.099426,6.167827,BsalGer3645_WW05,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,7,6,,,,Universities Trier and Braunschweig,,,,,,7/6/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2f6f03e6d19e5167a7169ee9592640dde,https://n2t.net/ark:/21547/Dgt2BsalGer3645_WW05,2014-2020,354
Bsal Consortium Germany,Germany,Wassenberger Wald,2017,51.099426,6.167827,BsalGer3644_WW04,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,7,6,,,,Universities Trier and Braunschweig,,,,,,7/6/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu239a376673ac606b0a410c8d794689698,https://n2t.net/ark:/21547/Dgt2BsalGer3644_WW04,2014-2020,354
Bsal Consortium Germany,Germany,Thönbach,2019,50.747077,6.366395,BsalGer6269_THOE_2019_09,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,4,2,,,,Universities Trier and Braunschweig,,,,,,4/2/2019,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2e6040ba7465eaca1ec876d1b79d7eb38,https://n2t.net/ark:/21547/Dgt2BsalGer6269_THOE_2019_09,2014-2020,354
Bsal Consortium Germany,Germany,Reichertshausen,2018,49.314267,9.299841,BsalGer1178_6187_6188,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,10,28,,,,Universities Trier and Braunschweig,,,,,,10/28/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu287f815e55cb202380dfd10f4e0f06c43,https://n2t.net/ark:/21547/Dgt2BsalGer1178_6187_6188,2014-2020,354
