dataStatus,principalInvestigator,country,locality,Bsal_area,yearCollected,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,collectorList,materialSampleID,genus,specificEpithet,sampleType,diseaseTested,diseaseDetected,basisOfRecord,fatal,quantityDetected,monthCollected,dayCollected,dilutionFactor,cycleTimeFirstDetection,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,diseaseLineage,genotypeMethod,testMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,diagnosticLab,
,Bsal Consortium Germany,Germany,Reichertshausen,,2018,49.314267,9.299841,100,Bsal Consortium Germany,BsalGer1176 - 6183/6184,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Reichertshausen,,2018,49.314267,9.299841,100,Bsal Consortium Germany,BsalGer1177 - 6185/6186,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Reichertshausen,,2018,49.314267,9.299841,100,Bsal Consortium Germany,BsalGer1178 - 6187/6188,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Reichertshausen,,2018,49.314267,9.299841,100,Bsal Consortium Germany,BsalGer1179 - 6189/6190,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Mattheiser Wald,,2016,49.719908,6.652989,100,Bsal Consortium Germany,BsalGer2702 - 142,Triturus,cristatus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Sirzenicher Bach,,2014,49.763169,6.611662,100,Bsal Consortium Germany,BsalGer1952 - Dry1,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Sirzenicher Bach,,2014,49.763169,6.611662,100,Bsal Consortium Germany,BsalGer1953 - Dry2,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Sirzenicher Bach,,2014,49.763169,6.611662,100,Bsal Consortium Germany,BsalGer1954 - Dry3,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ralingen,,2019,49.804369,6.514113,100,Bsal Consortium Germany,BsalGer6607 - RAL-01,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ralingen ,,2016,49.810117,6.530386,100,Bsal Consortium Germany,BsalGer2695 - 62,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ralingen ,,2016,49.810117,6.530386,100,Bsal Consortium Germany,BsalGer2696 - 63,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ralingen ,,2016,49.810117,6.530386,100,Bsal Consortium Germany,BsalGer2697 - 64,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Butzweiler,,2019,49.816517,6.614972,100,Bsal Consortium Germany,BsalGer5346 - Butzweiler 2019-01,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Gutenbach,,2018,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer0495 - GUT-2018-001,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
