scientific,country,rangeStatus,redListCategory,assessmentScope,populationTrend
Alytes obstetricans,Germany,Extant,Least Concern,Global & Europe,Decreasing
Alytes obstetricans,Spain,Extant,Least Concern,Global & Europe,Decreasing
Alytes obstetricans,United Kingdom,Introduced,Least Concern,Global & Europe,Decreasing
Bombina variegata,Germany,Extant,Least Concern,Global & Europe,Decreasing
Bufo bufo,Germany,Extant,Least Concern,Global,Decreasing
Bufo spinosus,Spain,Extant,Least Concern,Global,Decreasing
Calotriton asper,Spain,Extant,Least Concern,Global & Europe,Decreasing
Discoglossus pictus,Spain,Introduced,Least Concern,Global,Stable
Echinotriton chinhaiensis,China,Extant,Critically Endangered,Global,Decreasing
Echinotriton maxiquadratus,China,Extant,Critically Endangered,Global,Decreasing
Hyla meridionalis,Spain,Origin Uncertain,Least Concern,Global,Decreasing
Hynobius leechii,China,Extant,Least Concern,Global,Decreasing
Hypselotriton cyanurus,China,Extant,Vulnerable,Global,Decreasing
Hypselotriton fudingensis,China,Extant,Critically Endangered,Global,Decreasing
Hypselotriton glaucus,China,Extant,Critically Endangered,Global,Decreasing
Hypselotriton orientalis,China,Extant,Least Concern,Global,Decreasing
Hypselotriton orphicus,China,Extant,Endangered,Global,Decreasing
Ichthyosaura alpestris,Germany,Extant,Least Concern,Global & Europe,Decreasing
Ichthyosaura alpestris,Spain,Extant,Least Concern,Global & Europe,Decreasing
Ichthyosaura alpestris,Switzerland,Extant,Least Concern,Global & Europe,Decreasing
Lissotriton boscai,Spain,Extant,Least Concern,Global & Europe,Decreasing
Lissotriton helveticus,Germany,Extant,Least Concern,Global & Europe,Decreasing
Lissotriton helveticus,Spain,Extant,Least Concern,Global & Europe,Decreasing
Lissotriton vulgaris,Germany,Extant,Least Concern,Global & Europe,Stable
Lissotriton vulgaris,Switzerland,Extant,Least Concern,Global & Europe,Stable
Pachytriton archospotus,China,Extant,Near Threatened,Global,Decreasing
Pachytriton brevipes,China,Extant,Least Concern,Global,Decreasing
Pachytriton feii,China,Extant,Vulnerable,Global,Decreasing
Pachytriton granulosus,China,Extant,Least Concern,Global,Decreasing
Pachytriton inexpectatus,China,Extant,Least Concern,Global,Stable
Pachytriton moi,China,Extant,Endangered,Global,Unknown
Pachytriton wuguanfui,China,Extant,Endangered,Global,Decreasing
Paramesotriton aurantius,China,Extant,Vulnerable,Global,Unknown
Paramesotriton caudopunctatus,China,Extant,Near Threatened,Global,Decreasing
Paramesotriton chinensis,China,Extant,Least Concern,Global,Decreasing
Paramesotriton deloustali,China,Presence Uncertain,Least Concern,Global,Decreasing
Paramesotriton deloustali,Vietnam,Extant,Least Concern,Global,Decreasing
Paramesotriton fuzhongensis,China,Extant,Vulnerable,Global,Decreasing
Paramesotriton guangxiensis,China,Extant,Vulnerable,Global,Decreasing
Paramesotriton guangxiensis,Vietnam,Extant,Vulnerable,Global,Decreasing
Paramesotriton hongkongensis,China,Extant,Near Threatened,Global,Decreasing
Paramesotriton labiatus,China,Extant,Critically Endangered,Global,Decreasing
Paramesotriton qixilingensis,China,Extant,Vulnerable,Global,Unknown
Paramesotriton sp.,Vietnam,Extant,Unknown,Unknown,Unknown
Paramesotriton yunwuensis,China,Extant,Endangered,Global,Decreasing
Paramesotriton zhijinensis,China,Extant,Endangered,Global,Decreasing
Pelobates cultripes,Spain,Extant,Vulnerable,Global & Europe,Decreasing
Pelophylax perezi,Spain,Extant,Least Concern,Global & Europe,Decreasing
Pelophylax sp.,Germany,Unknown,Uknown,Uknown,Uknown
Pelophylax sp.,Spain,Unknown,Uknown,Uknown,Uknown
Pleurodeles waltl,Spain,Extant,Least Concern,Global,Decreasing
Rana temporaria,Germany,Extant,Least Concern,Global,Stable
Salamandra salamandra,Belgium,Extant,Vulnerable,Global & Europe,Decreasing
Salamandra salamandra,Germany,Extant,Vulnerable,Global & Europe,Decreasing
Salamandra salamandra,Spain,Extant,Vulnerable,Global & Europe,Decreasing
Salamandra salamandra,Switzerland,Extant,Vulnerable,Global & Europe,Decreasing
Triturus anatolicus,Spain,Introduced,Least Concern,Global,Unknown
Triturus anatolicus x marmoratus,Spain,Introduced,Unknown,Unknown,Unknown
Triturus carnifex,Switzerland,Extant,Vulnerable,Global & Europe,Decreasing
Triturus cristatus,Germany,Extant,Least Concern,Global,Decreasing
Triturus marmoratus,Spain,Extant,Vulnerable,Global & Europe,Decreasing
Tylototriton anguliceps,Vietnam,Extant,Least Concern,Global,Decreasing
Tylototriton asperrimus,China,Extant,Near Threatened,Global,Decreasing
Tylototriton asperrimus,Vietnam,Extant,Near Threatened,Global,Decreasing
Tylototriton broadoridgus,China,Extant,Vulnerable,Global,Stable
Tylototriton dabienicus,China,Extant,Endangered,Global,Decreasing
Tylototriton shanjing,China,Extant,Vulnerable,Global,Decreasing
Tylototriton sp.,Vietnam,Extant,Unknown,Unknown,Unknown
Tylototriton verrucosus,China,Extant,Near Threatened,Global,Decreasing
Tylototriton vietnamensis,China,Possibly Extant,Vulnerable,Global,Decreasing
Tylototriton vietnamensis,Vietnam,Extant,Vulnerable,Global,Decreasing
Tylototriton wenxianensis,China,Extant,Vulnerable,Global,Decreasing
Tylototriton yangi,China,Extant,Endangered,Global,Decreasing
Tylototriton ziegleri,China,Presence Uncertain,Vulnerable,Global,Decreasing
Tylototriton ziegleri,Vietnam,Extant,Vulnerable,Global,Decreasing
