fid,L1,Lon,Lat,iucn_sr1
1,1,5.719057,50.549875,13
2,2,4.407116,50.087187,12
3,3,4.923994,50.406823,12
4,4,5.690341,50.700243,13
5,5,5.690341,50.700243,13
6,6,4.780233,50.404263,12
7,7,5.794612,50.415491,13
8,8,4.21608,51.000457,10
9,9,4.21608,51.000457,10
10,10,4.21608,51.000457,10
11,11,3.703245,50.807351,10
12,12,3.703245,50.807351,10
13,13,3.703245,50.807351,10
14,14,4.89063,50.216981,11
15,15,5.52347,50.50957,12
16,16,6.089526,50.624164,15
17,17,5.33748,50.514141,12
18,18,4.956019,50.2158,11
19,19,4.956019,50.2158,11
20,20,4.53146,50.59676,12
21,21,5.020961,50.413149,12
22,22,5.330764,50.565628,12
23,23,3.761597,50.778471,10
24,24,3.761597,50.778471,10
25,25,3.761597,50.778471,10
26,26,4.276578,50.703969,10
27,27,4.276578,50.703969,10
28,28,4.276578,50.703969,10
29,29,4.849232,50.202162,11
30,30,3.73047,50.946999,10
31,31,3.73047,50.946999,10
32,32,3.73047,50.946999,10
33,33,4.962908,50.335364,11
34,34,5.195327,50.492792,12
35,35,5.195327,50.492792,12
36,36,5.261291,50.155227,11
37,37,4.839672,50.936207,13
38,38,4.839672,50.936207,13
39,39,4.839672,50.936207,13
40,40,3.495953,50.760972,10
41,41,3.495953,50.760972,10
42,42,3.495953,50.760972,10
43,43,5.584746,50.584708,12
44,44,5.657861,50.651058,13
45,45,4.95521,50.492301,12
46,46,4.95521,50.492301,12
47,47,5.729159,49.825593,12
48,48,3.724506,50.957724,10
49,49,3.724506,50.957724,10
50,50,3.724506,50.957724,10
51,51,5.74459,50.46889,13
52,52,5.74459,50.46889,13
53,53,5.74459,50.46889,13
54,54,5.74459,50.46889,13
55,55,5.769036971,50.582561,13
56,56,3.954857,50.64458,11
57,57,4.59534,50.67638,12
58,58,3.906544,50.977754,9
59,59,3.906544,50.977754,9
60,60,3.906544,50.977754,9
61,61,3.936635,50.769532,10
62,62,3.936635,50.769532,10
63,63,3.936635,50.769532,10
64,64,6.103064,50.45155,15
65,65,5.22195,50.17741,11
66,66,5.542909,50.594909,12
67,67,5.825166,50.528162,13
68,68,5.782921,50.54141,13
69,69,5.247461,50.56712,12
70,70,9.002659,46.159648,7
71,71,9.002659,46.159648,7
72,72,9.002659,46.159648,7
73,73,9.002659,46.159648,7
74,74,9.002659,46.159648,7
75,75,9.002659,46.159648,7
76,76,9.002659,46.159648,7
77,77,9.002659,46.159648,7
78,78,9.002659,46.159648,7
79,79,9.002659,46.159648,7
80,80,9.002659,46.159648,7
81,81,9.002659,46.159648,7
82,82,9.002659,46.159648,7
83,83,9.002659,46.159648,7
84,84,9.002659,46.159648,7
85,85,9.002659,46.159648,7
86,86,9.002659,46.159648,7
87,87,9.002659,46.159648,7
88,88,9.002659,46.159648,7
89,89,9.002659,46.159648,7
90,90,9.002659,46.159648,7
91,91,9.002659,46.159648,7
92,92,9.002659,46.159648,7
93,93,9.002659,46.159648,7
94,94,9.002659,46.159648,7
95,95,9.002659,46.159648,7
96,96,9.002659,46.159648,7
97,97,9.002659,46.159648,7
98,98,9.028099,45.927315,7
99,99,9.028099,45.927315,7
100,100,9.028099,45.927315,7
101,101,9.028099,45.927315,7
102,102,9.002659,46.159648,7
103,103,9.002659,46.159648,7
104,104,9.002659,46.159648,7
105,105,8.741555,46.174407,7
106,106,8.741555,46.174407,7
107,107,8.741555,46.174407,7
108,108,8.741555,46.174407,7
109,109,9.002659,46.159648,7
110,110,9.002659,46.159648,7
111,111,9.002659,46.159648,7
112,112,9.002659,46.159648,7
113,113,9.002659,46.159648,7
114,114,9.002659,46.159648,7
115,115,9.002659,46.159648,7
116,116,9.002659,46.159648,7
117,117,9.002659,46.159648,7
118,118,9.002659,46.159648,7
119,119,9.002659,46.159648,7
120,120,9.002659,46.159648,7
121,121,9.002659,46.159648,7
122,122,9.002659,46.159648,7
123,123,9.002659,46.159648,7
124,124,9.002659,46.159648,7
125,125,9.002659,46.159648,7
126,126,9.002659,46.159648,7
127,127,9.002659,46.159648,7
128,128,9.002659,46.159648,7
129,129,9.002659,46.159648,7
130,130,9.002659,46.159648,7
131,131,9.002659,46.159648,7
132,132,9.002659,46.159648,7
133,133,9.002659,46.159648,7
134,134,9.002659,46.159648,7
135,135,9.002659,46.159648,7
136,136,9.002659,46.159648,7
137,137,9.002659,46.159648,7
138,138,9.002659,46.159648,7
139,139,9.002659,46.159648,7
140,140,9.002659,46.159648,7
141,141,9.002659,46.159648,7
142,142,9.002659,46.159648,7
143,143,9.002659,46.159648,7
144,144,9.002659,46.159648,7
145,145,9.002659,46.159648,7
146,146,9.002659,46.159648,7
147,147,9.002659,46.159648,7
148,148,9.002659,46.159648,7
149,149,9.002659,46.159648,7
150,150,9.002659,46.159648,7
