fid,L1,Lon,Lat,iucn_rwr1
1,1,5.719057,50.549875,0.0042121
2,2,4.407116,50.087187,0.00483463
3,3,4.923994,50.406823,0.0038853
4,4,5.690341,50.700243,0.0042121
5,5,5.690341,50.700243,0.0042121
6,6,4.780233,50.404263,0.0038853
7,7,5.794612,50.415491,0.0042121
8,8,4.21608,51.000457,0.00298293
9,9,4.21608,51.000457,0.00298293
10,10,4.21608,51.000457,0.00298293
11,11,3.703245,50.807351,0.00369078
12,12,3.703245,50.807351,0.00369078
13,13,3.703245,50.807351,0.00369078
14,14,4.89063,50.216981,0.00380264
15,15,5.52347,50.50957,0.0038853
16,16,6.089526,50.624164,0.00516997
17,17,5.33748,50.514141,0.0038853
18,18,4.956019,50.2158,0.00380264
19,19,4.956019,50.2158,0.00380264
20,20,4.53146,50.59676,0.0038853
21,21,5.020961,50.413149,0.0038853
22,22,5.330764,50.565628,0.0038853
23,23,3.761597,50.778471,0.00369078
24,24,3.761597,50.778471,0.00369078
25,25,3.761597,50.778471,0.00369078
26,26,4.276578,50.703969,0.00298293
27,27,4.276578,50.703969,0.00298293
28,28,4.276578,50.703969,0.00298293
29,29,4.849232,50.202162,0.00380264
30,30,3.73047,50.946999,0.00369078
31,31,3.73047,50.946999,0.00369078
32,32,3.73047,50.946999,0.00369078
33,33,4.962908,50.335364,0.00380264
34,34,5.195327,50.492792,0.0038853
35,35,5.195327,50.492792,0.0038853
36,36,5.261291,50.155227,0.00380264
37,37,4.839672,50.936207,0.0042121
38,38,4.839672,50.936207,0.0042121
39,39,4.839672,50.936207,0.0042121
40,40,3.495953,50.760972,0.00369078
41,41,3.495953,50.760972,0.00369078
42,42,3.495953,50.760972,0.00369078
43,43,5.584746,50.584708,0.0038853
44,44,5.657861,50.651058,0.0042121
45,45,4.95521,50.492301,0.0038853
46,46,4.95521,50.492301,0.0038853
47,47,5.729159,49.825593,0.00419038
48,48,3.724506,50.957724,0.00369078
49,49,3.724506,50.957724,0.00369078
50,50,3.724506,50.957724,0.00369078
51,51,5.74459,50.46889,0.0042121
52,52,5.74459,50.46889,0.0042121
53,53,5.74459,50.46889,0.0042121
54,54,5.74459,50.46889,0.0042121
55,55,5.769036971,50.582561,0.0042121
56,56,3.954857,50.64458,0.00380264
57,57,4.59534,50.67638,0.0038853
58,58,3.906544,50.977754,0.00264058
59,59,3.906544,50.977754,0.00264058
60,60,3.906544,50.977754,0.00264058
61,61,3.936635,50.769532,0.00369078
62,62,3.936635,50.769532,0.00369078
63,63,3.936635,50.769532,0.00369078
64,64,6.103064,50.45155,0.00516997
65,65,5.22195,50.17741,0.00380264
66,66,5.542909,50.594909,0.0038853
67,67,5.825166,50.528162,0.0042121
68,68,5.782921,50.54141,0.0042121
69,69,5.247461,50.56712,0.0038853
70,70,9.002659,46.159648,0.01120627
71,71,9.002659,46.159648,0.01120627
72,72,9.002659,46.159648,0.01120627
73,73,9.002659,46.159648,0.01120627
74,74,9.002659,46.159648,0.01120627
75,75,9.002659,46.159648,0.01120627
76,76,9.002659,46.159648,0.01120627
77,77,9.002659,46.159648,0.01120627
78,78,9.002659,46.159648,0.01120627
79,79,9.002659,46.159648,0.01120627
80,80,9.002659,46.159648,0.01120627
81,81,9.002659,46.159648,0.01120627
82,82,9.002659,46.159648,0.01120627
83,83,9.002659,46.159648,0.01120627
84,84,9.002659,46.159648,0.01120627
85,85,9.002659,46.159648,0.01120627
86,86,9.002659,46.159648,0.01120627
87,87,9.002659,46.159648,0.01120627
88,88,9.002659,46.159648,0.01120627
89,89,9.002659,46.159648,0.01120627
90,90,9.002659,46.159648,0.01120627
91,91,9.002659,46.159648,0.01120627
92,92,9.002659,46.159648,0.01120627
93,93,9.002659,46.159648,0.01120627
94,94,9.002659,46.159648,0.01120627
95,95,9.002659,46.159648,0.01120627
96,96,9.002659,46.159648,0.01120627
97,97,9.002659,46.159648,0.01120627
98,98,9.028099,45.927315,0.01120627
99,99,9.028099,45.927315,0.01120627
100,100,9.028099,45.927315,0.01120627
101,101,9.028099,45.927315,0.01120627
102,102,9.002659,46.159648,0.01120627
103,103,9.002659,46.159648,0.01120627
104,104,9.002659,46.159648,0.01120627
105,105,8.741555,46.174407,0.01120627
106,106,8.741555,46.174407,0.01120627
107,107,8.741555,46.174407,0.01120627
108,108,8.741555,46.174407,0.01120627
109,109,9.002659,46.159648,0.01120627
110,110,9.002659,46.159648,0.01120627
111,111,9.002659,46.159648,0.01120627
112,112,9.002659,46.159648,0.01120627
113,113,9.002659,46.159648,0.01120627
114,114,9.002659,46.159648,0.01120627
115,115,9.002659,46.159648,0.01120627
116,116,9.002659,46.159648,0.01120627
117,117,9.002659,46.159648,0.01120627
118,118,9.002659,46.159648,0.01120627
119,119,9.002659,46.159648,0.01120627
120,120,9.002659,46.159648,0.01120627
121,121,9.002659,46.159648,0.01120627
122,122,9.002659,46.159648,0.01120627
123,123,9.002659,46.159648,0.01120627
124,124,9.002659,46.159648,0.01120627
125,125,9.002659,46.159648,0.01120627
126,126,9.002659,46.159648,0.01120627
127,127,9.002659,46.159648,0.01120627
128,128,9.002659,46.159648,0.01120627
129,129,9.002659,46.159648,0.01120627
130,130,9.002659,46.159648,0.01120627
131,131,9.002659,46.159648,0.01120627
132,132,9.002659,46.159648,0.01120627
133,133,9.002659,46.159648,0.01120627
134,134,9.002659,46.159648,0.01120627
135,135,9.002659,46.159648,0.01120627
136,136,9.002659,46.159648,0.01120627
137,137,9.002659,46.159648,0.01120627
138,138,9.002659,46.159648,0.01120627
139,139,9.002659,46.159648,0.01120627
140,140,9.002659,46.159648,0.01120627
141,141,9.002659,46.159648,0.01120627
142,142,9.002659,46.159648,0.01120627
143,143,9.002659,46.159648,0.01120627
144,144,9.002659,46.159648,0.01120627
145,145,9.002659,46.159648,0.01120627
146,146,9.002659,46.159648,0.01120627
147,147,9.002659,46.159648,0.01120627
148,148,9.002659,46.159648,0.01120627
149,149,9.002659,46.159648,0.01120627
150,150,9.002659,46.159648,0.01120627
151,151,9.002659,46.159648,0.01120627
152,152,9.002659,46.159648,0.01120627
153,153,9.002659,46.159648,0.01120627
154,154,9.002659,46.159648,0.01120627
155,155,9.002659,46.159648,0.01120627
156,156,9.002659,46.159648,0.01120627
157,157,9.002659,46.159648,0.01120627
158,158,9.002659,46.159648,0.01120627
159,159,9.002659,46.159648,0.01120627
160,160,9.002659,46.159648,0.01120627
161,161,9.002659,46.159648,0.01120627
162,162,9.002659,46.159648,0.01120627
163,163,9.002659,46.159648,0.01120627
164,164,9.002659,46.159648,0.01120627
165,165,9.002659,46.159648,0.01120627
166,166,9.002659,46.159648,0.01120627
167,167,9.002659,46.159648,0.01120627
168,168,9.002659,46.159648,0.01120627
169,169,9.002659,46.159648,0.01120627
170,170,9.002659,46.159648,0.01120627
171,171,9.002659,46.159648,0.01120627
172,172,9.002659,46.159648,0.01120627
173,173,9.002659,46.159648,0.01120627
174,174,9.002659,46.159648,0.01120627
175,175,9.002659,46.159648,0.01120627
176,176,9.002659,46.159648,0.01120627
177,177,9.002659,46.159648,0.01120627
178,178,9.002659,46.159648,0.01120627
179,179,9.002659,46.159648,0.01120627
180,180,9.002659,46.159648,0.01120627
181,181,9.002659,46.159648,0.01120627
182,182,9.002659,46.159648,0.01120627
183,183,9.002659,46.159648,0.01120627
184,184,9.002659,46.159648,0.01120627
185,185,9.002659,46.159648,0.01120627
186,186,9.002659,46.159648,0.01120627
187,187,9.002659,46.159648,0.01120627
188,188,9.002659,46.159648,0.01120627
189,189,9.002659,46.159648,0.01120627
190,190,9.002659,46.159648,0.01120627
191,191,9.002659,46.159648,0.01120627
192,192,9.002659,46.159648,0.01120627
193,193,9.002659,46.159648,0.01120627
194,194,9.002659,46.159648,0.01120627
195,195,9.002659,46.159648,0.01120627
196,196,9.002659,46.159648,0.01120627
197,197,9.002659,46.159648,0.01120627
198,198,9.002659,46.159648,0.01120627
199,199,9.002659,46.159648,0.01120627
200,200,9.002659,46.159648,0.01120627
201,201,9.002659,46.159648,0.01120627
202,202,9.002659,46.159648,0.01120627
203,203,9.002659,46.159648,0.01120627
204,204,9.002659,46.159648,0.01120627
205,205,9.002659,46.159648,0.01120627
206,206,9.002659,46.159648,0.01120627
207,207,9.002659,46.159648,0.01120627
208,208,9.002659,46.159648,0.01120627
209,209,9.002659,46.159648,0.01120627
210,210,9.002659,46.159648,0.01120627
211,211,9.002659,46.159648,0.01120627
212,212,9.002659,46.159648,0.01120627
213,213,9.002659,46.159648,0.01120627
214,214,9.002659,46.159648,0.01120627
215,215,9.002659,46.159648,0.01120627
216,216,9.002659,46.159648,0.01120627
217,217,9.002659,46.159648,0.01120627
218,218,9.002659,46.159648,0.01120627
219,219,9.002659,46.159648,0.01120627
220,220,9.002659,46.159648,0.01120627
221,221,9.002659,46.159648,0.01120627
222,222,9.002659,46.159648,0.01120627
223,223,9.002659,46.159648,0.01120627
224,224,9.002659,46.159648,0.01120627
225,225,9.002659,46.159648,0.01120627
226,226,9.002659,46.159648,0.01120627
227,227,9.002659,46.159648,0.01120627
228,228,9.002659,46.159648,0.01120627
229,229,9.002659,46.159648,0.01120627
230,230,9.002659,46.159648,0.01120627
231,231,9.002659,46.159648,0.01120627
232,232,9.002659,46.159648,0.01120627
233,233,9.002659,46.159648,0.01120627
234,234,9.002659,46.159648,0.01120627
235,235,9.002659,46.159648,0.01120627
236,236,9.002659,46.159648,0.01120627
237,237,9.002659,46.159648,0.01120627
238,238,9.002659,46.159648,0.01120627
239,239,9.002659,46.159648,0.01120627
240,240,9.002659,46.159648,0.01120627
241,241,9.002659,46.159648,0.01120627
242,242,9.002659,46.159648,0.01120627
243,243,9.002659,46.159648,0.01120627
244,244,9.002659,46.159648,0.01120627
245,245,9.002659,46.159648,0.01120627
246,246,9.002659,46.159648,0.01120627
247,247,9.002659,46.159648,0.01120627
248,248,9.002659,46.159648,0.01120627
249,249,9.002659,46.159648,0.01120627
250,250,9.002659,46.159648,0.01120627
251,251,9.002659,46.159648,0.01120627
252,252,9.002659,46.159648,0.01120627
253,253,9.002659,46.159648,0.01120627
254,254,9.002659,46.159648,0.01120627
255,255,9.002659,46.159648,0.01120627
256,256,9.002659,46.159648,0.01120627
257,257,9.002659,46.159648,0.01120627
258,258,9.002659,46.159648,0.01120627
259,259,9.002659,46.159648,0.01120627
260,260,9.002659,46.159648,0.01120627
261,261,9.002659,46.159648,0.01120627
262,262,9.002659,46.159648,0.01120627
263,263,9.002659,46.159648,0.01120627
264,264,9.002659,46.159648,0.01120627
265,265,9.002659,46.159648,0.01120627
266,266,9.002659,46.159648,0.01120627
267,267,9.002659,46.159648,0.01120627
268,268,9.002659,46.159648,0.01120627
269,269,9.002659,46.159648,0.01120627
270,270,9.002659,46.159648,0.01120627
271,271,9.002659,46.159648,0.01120627
272,272,9.002659,46.159648,0.01120627
273,273,9.002659,46.159648,0.01120627
274,274,9.002659,46.159648,0.01120627
275,275,9.002659,46.159648,0.01120627
276,276,9.002659,46.159648,0.01120627
277,277,9.002659,46.159648,0.01120627
278,278,8.7741,46.274131,0.01120627
279,279,8.7741,46.274131,0.01120627
280,280,8.7741,46.274131,0.01120627
281,281,8.7741,46.274131,0.01120627
282,282,8.7741,46.274131,0.01120627
283,283,8.7741,46.274131,0.01120627
284,284,8.7741,46.274131,0.01120627
285,285,8.7741,46.274131,0.01120627
286,286,8.7741,46.274131,0.01120627
287,287,8.7741,46.274131,0.01120627
288,288,9.002659,46.159648,0.01120627
289,289,9.002659,46.159648,0.01120627
290,290,9.002659,46.159648,0.01120627
291,291,9.002659,46.159648,0.01120627
292,292,9.002659,46.159648,0.01120627
293,293,9.002659,46.159648,0.01120627
294,294,9.002659,46.159648,0.01120627
295,295,9.028099,45.927315,0.01120627
296,296,9.028099,45.927315,0.01120627
297,297,9.028099,45.927315,0.01120627
298,298,9.028099,45.927315,0.01120627
299,299,9.028099,45.927315,0.01120627
300,300,9.028099,45.927315,0.01120627
301,301,9.028099,45.927315,0.01120627
302,302,9.028099,45.927315,0.01120627
303,303,9.028099,45.927315,0.01120627
304,304,9.028099,45.927315,0.01120627
305,305,9.028099,45.927315,0.01120627
306,306,9.028099,45.927315,0.01120627
307,307,9.028099,45.927315,0.01120627
