"country","ADM0","ADM1","ADM2","decimalLatitude","decimalLongitude","locationRemarks","coordinateUncertaintyInMeters","Elevation","soilMoisture","materialSampleID","yearCollected","monthCollected","dayCollected","genus","species","scientific","susceptibility","nativeStatus","lifeStage","sex","occurrenceRemarks","individualCount","specimenDisposition","diagnosticLab","sampleType","testMethod","diseaseTested","BdDetected","BsalDetected","BdLoad","BsalLoad","fatal","basisOfRecord","eventRemarks","tmin","tmax","prec","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","collectorList","principalInvestigator","Sample_bcid","expeditionCode","projectId"
"Belgium",NA,NA,NA,50.549875,5.719057,NA,NA,NA,NA,"2016_BEL_10",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,31,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.087187,4.407116,NA,NA,NA,NA,"BEL_01",NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.406823,4.923994,NA,NA,NA,NA,"2017_BEL_01",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.700243,5.690341,NA,NA,NA,NA,"2017_BEL_02",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,15,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.700243,5.690341,NA,NA,NA,NA,"2017_BEL_03",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,15,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.404263,4.780233,NA,NA,NA,NA,"2017_BEL_04",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.415491,5.794612,NA,NA,NA,NA,"2017_BEL_05",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,22,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,51.000457,4.21608,NA,NA,NA,NA,"2017_BEL_06",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,51.000457,4.21608,NA,NA,NA,NA,"2016_BEL_11",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,51.000457,4.21608,NA,NA,NA,NA,"2015_BEL_09",2015,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.807351,3.703245,NA,NA,NA,NA,"2017_BEL_07",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.807351,3.703245,NA,NA,NA,NA,"2016_BEL_11",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.807351,3.703245,NA,NA,NA,NA,"2015_BEL_10",2015,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.216981,4.89063,NA,NA,NA,NA,"2016_BEL_10",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Bsal",NA,TRUE,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Beukema et al. 2018","",NA
"Belgium",NA,NA,NA,50.50957,5.52347,NA,NA,NA,NA,"2017_BEL_08",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,15,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.624164,6.089526,NA,NA,NA,NA,"2013_BEL_01",2013,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Bsal",NA,TRUE,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.514141,5.33748,NA,NA,NA,NA,"2017_BEL_09",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.2158,4.956019,NA,NA,NA,NA,"2017_BEL_10",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,27,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.2158,4.956019,NA,NA,NA,NA,"2017_BEL_11",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,15,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.59676,4.53146,NA,NA,NA,NA,"2017_BEL_12",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,16,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.413149,5.020961,NA,NA,NA,NA,"2017_BEL_13",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,28,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.565628,5.330764,NA,NA,NA,NA,"2017_BEL_14",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,31,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.778471,3.761597,NA,NA,NA,NA,"2017_BEL_15",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.778471,3.761597,NA,NA,NA,NA,"2016_BEL_01",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.778471,3.761597,NA,NA,NA,NA,"2015_BEL_01",2015,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.703969,4.276578,NA,NA,NA,NA,"2017_BEL_16",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.703969,4.276578,NA,NA,NA,NA,"2016_BEL_02",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.703969,4.276578,NA,NA,NA,NA,"2015_BEL_02",2015,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.202162,4.849232,NA,NA,NA,NA,"2017_BEL_17",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,31,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.946999,3.73047,NA,NA,NA,NA,"2017_BEL_18",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.946999,3.73047,NA,NA,NA,NA,"2016_BEL_03",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.946999,3.73047,NA,NA,NA,NA,"2015_BEL_03",2015,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.335364,4.962908,NA,NA,NA,NA,"2017_BEL_19",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.492792,5.195327,NA,NA,NA,NA,"2017_BEL_20",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.492792,5.195327,NA,NA,NA,NA,"2017_BEL_21",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
