"decimalLongitude","decimalLatitude","L1","transLon","transLat"
5.719057,50.549875,1,4017772.53281653,3057534.30167203
4.407116,50.087187,2,3921144.66994437,3012458.26935199
4.923994,50.406823,3,3960460.53121871,3045251.21599327
5.690341,50.700243,4,4016717.40232017,3074355.833968
5.690341,50.700243,5,4016717.40232017,3074355.833968
4.780233,50.404263,6,3950249.00492574,3045684.50463143
5.794612,50.415491,7,4022267.37126034,3042296.90839235
4.21608,51.000457,8,3915466.59726636,3114840.51901015
4.21608,51.000457,9,3915466.59726636,3114840.51901015
4.21608,51.000457,10,3915466.59726636,3114840.51901015
3.703245,50.807351,11,3877771.83290767,3096395.70400832
3.703245,50.807351,12,3877771.83290767,3096395.70400832
3.703245,50.807351,13,3877771.83290767,3096395.70400832
4.89063,50.216981,14,3956639.13522502,3024342.93058503
5.52347,50.50957,15,4003666.67439403,3053886.25748077
6.089526,50.624164,16,4044420.9249504,3064320.53617235
5.33748,50.514141,17,3990534.34948761,3055216.3421929
4.956019,50.2158,18,3961284.7114859,3023888.93864496
4.956019,50.2158,19,3961284.7114859,3023888.93864496
4.53146,50.59676,20,3934199.28761624,3068335.7032057
5.020961,50.413149,21,3967382.91536043,3045480.89784462
5.330764,50.565628,22,3990420.86783729,3060964.08019082
3.761597,50.778471,23,3881595.92086694,3092840.88001042
3.761597,50.778471,24,3881595.92086694,3092840.88001042
3.761597,50.778471,25,3881595.92086694,3092840.88001042
4.276578,50.703969,26,3917136.66281887,3081608.87309633
4.276578,50.703969,27,3917136.66281887,3081608.87309633
4.276578,50.703969,28,3917136.66281887,3081608.87309633
4.849232,50.202162,29,3953578.07108379,3022904.6469601
3.73047,50.946999,30,3881004.61717171,3111718.35800618
3.73047,50.946999,31,3881004.61717171,3111718.35800618
3.73047,50.946999,32,3881004.61717171,3111718.35800618
4.962908,50.335364,33,3962678.81929883,3037127.74254494
5.195327,50.492792,34,3980321.07426144,3053497.01586366
5.195327,50.492792,35,3980321.07426144,3053497.01586366
5.261291,50.155227,36,3982589.04642584,3015710.97952945
4.839672,50.936207,37,3958599.06148567,3104435.08547288
4.839672,50.936207,38,3958599.06148567,3104435.08547288
4.839672,50.936207,39,3958599.06148567,3104435.08547288
3.495953,50.760972,40,3862769.26202985,3092530.09479094
3.495953,50.760972,41,3862769.26202985,3092530.09479094
3.495953,50.760972,42,3862769.26202985,3092530.09479094
5.584746,50.584708,43,4008503.63520507,3061967.87065246
5.657861,50.651058,44,4014105.36302018,3069028.14911448
4.95521,50.492301,45,3963321.96238297,3054587.16990015
4.95521,50.492301,46,3963321.96238297,3054587.16990015
5.729159,49.825593,47,4013849.25466006,2977049.03800012
3.724506,50.957724,48,3880688.94445418,3112943.69815981
3.724506,50.957724,49,3880688.94445418,3112943.69815981
3.724506,50.957724,50,3880688.94445418,3112943.69815981
5.74459,50.46889,51,4019060.23514546,3048433.35025357
5.74459,50.46889,52,4019060.23514546,3048433.35025357
5.74459,50.46889,53,4019060.23514546,3048433.35025357
5.74459,50.46889,54,4019060.23514546,3048433.35025357
5.769036971,50.582561,55,4021516.33783602,3060959.34362109
3.954857,50.64458,56,3893952.04137009,3076846.54648784
4.59534,50.67638,57,3939356.28634636,3076836.75815646
3.906544,50.977754,58,3893611.20539405,3114085.07608368
3.906544,50.977754,59,3893611.20539405,3114085.07608368
3.906544,50.977754,60,3893611.20539405,3114085.07608368
3.936635,50.769532,61,3893810.0098706,3090812.77486437
3.936635,50.769532,62,3893810.0098706,3090812.77486437
3.936635,50.769532,63,3893810.0098706,3090812.77486437
6.103064,50.45155,64,4044364.98048721,3045091.60860479
5.22195,50.17741,65,3979942.96730069,3018356.18576792
5.542909,50.594909,66,4005615.21502816,3063280.21092262
5.825166,50.528162,67,4025142.50815182,3054688.47262904
5.782921,50.54141,68,4022236.60821732,3056331.56432939
5.247461,50.56712,69,3984543.199623,3061509.14574096
9.002659,46.159648,70,4243876.22045901,2561249.8452638
9.002659,46.159648,71,4243876.22045901,2561249.8452638
9.002659,46.159648,72,4243876.22045901,2561249.8452638
9.002659,46.159648,73,4243876.22045901,2561249.8452638
9.002659,46.159648,74,4243876.22045901,2561249.8452638
9.002659,46.159648,75,4243876.22045901,2561249.8452638
9.002659,46.159648,76,4243876.22045901,2561249.8452638
9.002659,46.159648,77,4243876.22045901,2561249.8452638
9.002659,46.159648,78,4243876.22045901,2561249.8452638
9.002659,46.159648,79,4243876.22045901,2561249.8452638
9.002659,46.159648,80,4243876.22045901,2561249.8452638
9.002659,46.159648,81,4243876.22045901,2561249.8452638
9.002659,46.159648,82,4243876.22045901,2561249.8452638
9.002659,46.159648,83,4243876.22045901,2561249.8452638
9.002659,46.159648,84,4243876.22045901,2561249.8452638
9.002659,46.159648,85,4243876.22045901,2561249.8452638
9.002659,46.159648,86,4243876.22045901,2561249.8452638
9.002659,46.159648,87,4243876.22045901,2561249.8452638
9.002659,46.159648,88,4243876.22045901,2561249.8452638
9.002659,46.159648,89,4243876.22045901,2561249.8452638
9.002659,46.159648,90,4243876.22045901,2561249.8452638
9.002659,46.159648,91,4243876.22045901,2561249.8452638
9.002659,46.159648,92,4243876.22045901,2561249.8452638
9.002659,46.159648,93,4243876.22045901,2561249.8452638
9.002659,46.159648,94,4243876.22045901,2561249.8452638
9.002659,46.159648,95,4243876.22045901,2561249.8452638
9.002659,46.159648,96,4243876.22045901,2561249.8452638
9.002659,46.159648,97,4243876.22045901,2561249.8452638
9.028099,45.927315,98,4245520.01467629,2535433.16052472
9.028099,45.927315,99,4245520.01467629,2535433.16052472
9.028099,45.927315,100,4245520.01467629,2535433.16052472
9.028099,45.927315,101,4245520.01467629,2535433.16052472
9.002659,46.159648,102,4243876.22045901,2561249.8452638
9.002659,46.159648,103,4243876.22045901,2561249.8452638
9.002659,46.159648,104,4243876.22045901,2561249.8452638
8.741555,46.174407,105,4223713.81101624,2563194.40731251
8.741555,46.174407,106,4223713.81101624,2563194.40731251
8.741555,46.174407,107,4223713.81101624,2563194.40731251
8.741555,46.174407,108,4223713.81101624,2563194.40731251
9.002659,46.159648,109,4243876.22045901,2561249.8452638
9.002659,46.159648,110,4243876.22045901,2561249.8452638
9.002659,46.159648,111,4243876.22045901,2561249.8452638
9.002659,46.159648,112,4243876.22045901,2561249.8452638
9.002659,46.159648,113,4243876.22045901,2561249.8452638
9.002659,46.159648,114,4243876.22045901,2561249.8452638
9.002659,46.159648,115,4243876.22045901,2561249.8452638
9.002659,46.159648,116,4243876.22045901,2561249.8452638
9.002659,46.159648,117,4243876.22045901,2561249.8452638
9.002659,46.159648,118,4243876.22045901,2561249.8452638
9.002659,46.159648,119,4243876.22045901,2561249.8452638
9.002659,46.159648,120,4243876.22045901,2561249.8452638
9.002659,46.159648,121,4243876.22045901,2561249.8452638
9.002659,46.159648,122,4243876.22045901,2561249.8452638
9.002659,46.159648,123,4243876.22045901,2561249.8452638
