Count,Genus,Species,Location,Lat,Lon,Day,Month,Year,Date,Code,Bsal,Bd,RV,Fate,Notes
2,Triturus ,anatolicus,Inner perimeter,41.665035,2.530639,16,3,2018,3/16/2018,CRARC_01/CRARC_02,POSITIVE,POSITIVE,0,Removed,Swabs of specimens CRARC_01 and CRARC_02 were pooled together and hence GE values are not available
10,Ichthyosaura ,alpestris,Inner perimeter,41.665035,2.530639,16,3,2018,3/16/2018,"CRARC_04-CRARC_09, CN13382-CN13385",0,POSITIVE,0,Removed,Swabs of specimens were pooled together and hence GE values are not available
6,Ichthyosaura ,alpestris,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,CRARC_10-CRARC_15,0,POSITIVE,0,Removed,Swabs of specimens were pooled together and hence GE values are not available
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0138,0,0,0,Removed,
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0131,0,0,0,Removed,
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0118,0,0,0,Removed,
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0154,0,0,0,Removed,
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0152,0,0,0,Removed,
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0135,0,200,0,Removed,
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0110,0,0,0,Removed,
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0153,0,250,0,Removed,
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0111,0,226,0,Removed,
1,Pelophylax ,sp.,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0130,0,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0062,0,2140,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0064,2620,3120,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0066,1330,43,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0068,7460,402,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0017,46,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0019,484,151,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0028,786,120,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0029,2000,51,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0032,30200,14360,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0036,230,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0037,4000,1442,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0042,776,17,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0045,436,79,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0049,3760,368,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0053,11620,642,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0054,4500,206,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0055,1810,434,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0058,14260,15460,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0060,866,41,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0061,7300,1410,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0065,1636,117,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0067,1292,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0018,376,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0022,6620,14800,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0023,350,135,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0026,1660,212,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0040,5920,1070,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0043,3660,0,0,Removed,
