fid,Lat,Lon,timepoint,year,month,day,SOILMOIST_kgm-21,SURFTEMP_K1,layer,path
"1",46.159648,9.002659,t60,"2013","10","21",5.8668966293335,,soilmoist_2013-10,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-10.gpkg|layername=soilmoist_2013-10
"2",46.159648,9.002659,t60,"2013","10","20",5.8668966293335,,soilmoist_2013-10,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-10.gpkg|layername=soilmoist_2013-10
"3",46.159648,9.002659,t60,"2013","10","24",5.8668966293335,,soilmoist_2013-10,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-10.gpkg|layername=soilmoist_2013-10
"4",46.159648,9.002659,t60,"2013","10","29",5.8668966293335,,soilmoist_2013-10,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-10.gpkg|layername=soilmoist_2013-10
"5",46.159648,9.002659,t60,"2013","10","25",5.8668966293335,,soilmoist_2013-10,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-10.gpkg|layername=soilmoist_2013-10
"6",46.159648,9.002659,t30,"2013","11","20",6.00664091110229,,soilmoist_2013-11,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-11.gpkg|layername=soilmoist_2013-11
"7",46.159648,9.002659,t30,"2013","11","19",6.00664091110229,,soilmoist_2013-11,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-11.gpkg|layername=soilmoist_2013-11
"8",46.159648,9.002659,t30,"2013","11","23",6.00664091110229,,soilmoist_2013-11,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-11.gpkg|layername=soilmoist_2013-11
"9",46.159648,9.002659,t30,"2013","11","28",6.00664091110229,,soilmoist_2013-11,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-11.gpkg|layername=soilmoist_2013-11
"10",46.159648,9.002659,t30,"2013","11","24",6.00664091110229,,soilmoist_2013-11,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-11.gpkg|layername=soilmoist_2013-11
"11",46.159648,9.002659,t60,"2013","11","3",6.00664091110229,,soilmoist_2013-11,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-11.gpkg|layername=soilmoist_2013-11
"12",46.159648,9.002659,t30,"2013","12","3",6.04174041748047,,soilmoist_2013-12,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2013-12.gpkg|layername=soilmoist_2013-12
"13",46.159648,9.002659,t60,"2014",true,"10",6.33734846115112,,soilmoist_2014-01,D:/01_GradSchool\_DissertationWork\Chapter2\03_code\Weather3.0\outputs\soilmoist_2014-01.gpkg|layername=soilmoist_2014-01
