scientific,country,nativeStatus,redListCat,popStatus
Alytes obstetricans,Belgium,Extant,LC,Decreasing
Alytes obstetricans,China,NA,LC,Decreasing
Alytes obstetricans,France,Extant,LC,Decreasing
Alytes obstetricans,Germany,Extant,LC,Decreasing
Alytes obstetricans,Luxembourg,Extant,LC,Decreasing
Alytes obstetricans,Netherlands,Extant,LC,Decreasing
Alytes obstetricans,Portugal,Extant,LC,Decreasing
Alytes obstetricans,Spain,Extant,LC,Decreasing
Alytes obstetricans,Switzerland,Extant,LC,Decreasing
Alytes obstetricans,United Kingdom,Introduced,LC,Decreasing
Alytes obstetricans,Vietnam,NA,LC,Decreasing
Bombina variegata,Albania,Extant,LC,Decreasing
Bombina variegata,Austria,Extant,LC,Decreasing
Bombina variegata,Belgium,NA,LC,Decreasing
Bombina variegata,Bosnia and Herzegovina,Extant,LC,Decreasing
Bombina variegata,Bulgaria,Extant,LC,Decreasing
Bombina variegata,China,NA,LC,Decreasing
Bombina variegata,Croatia,Extant,LC,Decreasing
Bombina variegata,Czechia,Extant,LC,Decreasing
Bombina variegata,France,Extant,LC,Decreasing
Bombina variegata,Germany,Extant,LC,Decreasing
Bombina variegata,Greece,Extant,LC,Decreasing
Bombina variegata,Hungary,Extant,LC,Decreasing
Bombina variegata,Italy,Extant,LC,Decreasing
Bombina variegata,Liechtenstein,Extant,LC,Decreasing
Bombina variegata,Luxembourg,Extant,LC,Decreasing
Bombina variegata,Montenegro,Extant,LC,Decreasing
Bombina variegata,North Macedonia,Extant,LC,Decreasing
Bombina variegata,Poland,Extant,LC,Decreasing
Bombina variegata,Romania,Extant,LC,Decreasing
Bombina variegata,Serbia,Extant,LC,Decreasing
Bombina variegata,Slovakia,Extant,LC,Decreasing
Bombina variegata,Slovenia,Extant,LC,Decreasing
Bombina variegata,Spain,NA,LC,Decreasing
Bombina variegata,Switzerland,Extant,LC,Decreasing
Bombina variegata,Türkiye,Extant,LC,Decreasing
Bombina variegata,Ukraine,Extant,LC,Decreasing
Bombina variegata,United Kingdom,Introduced,LC,Decreasing
Bombina variegata,Vietnam,NA,LC,Decreasing
Bufo bufo,Albania,Extant,LC,Stable
Bufo bufo,Austria,Extant,LC,Stable
Bufo bufo,Belarus,Extant,LC,Stable
Bufo bufo,Belgium,Extant,LC,Stable
Bufo bufo,Bosnia and Herzegovina,Extant,LC,Stable
Bufo bufo,Bulgaria,Extant,LC,Stable
Bufo bufo,China,Extant,LC,Stable
Bufo bufo,Croatia,Extant,LC,Stable
Bufo bufo,Czechia,Extant,LC,Stable
Bufo bufo,Denmark,Extant,LC,Stable
Bufo bufo,Estonia,Extant,LC,Stable
Bufo bufo,Finland,Extant,LC,Stable
Bufo bufo,France,Extant,LC,Stable
Bufo bufo,Germany,Extant,LC,Stable
Bufo bufo,Gibraltar,Extant,LC,Stable
Bufo bufo,Greece,Extant,LC,Stable
Bufo bufo,Hungary,Extant,LC,Stable
Bufo bufo,Italy,Extant,LC,Stable
Bufo bufo,Kazakhstan,Extant,LC,Stable
Bufo bufo,Latvia,Extant,LC,Stable
Bufo bufo,Lebanon,Extant,LC,Stable
Bufo bufo,Liechtenstein,Extant,LC,Stable
Bufo bufo,Lithuania,Extant,LC,Stable
Bufo bufo,Luxembourg,Extant,LC,Stable
Bufo bufo,Moldova,Extant,LC,Stable
Bufo bufo,Monaco,Extant,LC,Stable
Bufo bufo,Montenegro,Extant,LC,Stable
Bufo bufo,Netherlands,Extant,LC,Stable
Bufo bufo,North Macedonia,Extant,LC,Stable
Bufo bufo,Norway,Extant,LC,Stable
Bufo bufo,Poland,Extant,LC,Stable
Bufo bufo,Romania,Extant,LC,Stable
Bufo bufo,Russian Federation,Extant,LC,Stable
Bufo bufo,San Marino,Extant,LC,Stable
Bufo bufo,Serbia,Extant,LC,Stable
Bufo bufo,Slovakia,Extant,LC,Stable
Bufo bufo,Slovenia,Extant,LC,Stable
Bufo bufo,Spain,NA,LC,Stable
Bufo bufo,Sweden,Extant,LC,Stable
Bufo bufo,Switzerland,Extant,LC,Stable
Bufo bufo,Syrian Arab Republic,Extant,LC,Stable
Bufo bufo,Türkiye,Extant,LC,Stable
Bufo bufo,Ukraine,Extant,LC,Stable
Bufo bufo,Vietnam,NA,LC,Stable
Bufo bufo,United Kingdom,Extant,LC,Stable
Bufo spinosus,Algeria,Extant,LC,Decreasing
Bufo spinosus,Andorra,Extant,LC,Decreasing
Bufo spinosus,Belgium,NA,LC,Decreasing
Bufo spinosus,France,Extant,LC,Decreasing
Bufo spinosus,Gibraltar,Extant,LC,Decreasing
Bufo spinosus,Germany,NA,LC,Decreasing
Bufo spinosus,Jersey,Extant,LC,Decreasing
Bufo spinosus,Morocco,Extant,LC,Decreasing
Bufo spinosus,Portugal,Extant,LC,Decreasing
Bufo spinosus,Spain,Extant,LC,Decreasing
Bufo spinosus,Switzerland,NA,LC,Decreasing
Bufo spinosus,Tunisia,Extant,LC,Decreasing
Calotriton asper,Andorra,Extant,LC,Decreasing
Calotriton asper,France,Extant,LC,Decreasing
Calotriton asper,Spain,Extant,LC,Decreasing
Discoglossus pictus,Algeria,Extant,LC,Stable
Discoglossus pictus,Italy,Extant,LC,Stable
