"Lat","Lon","timepoint","year","month","day"
46.159648,9.002659,"t0",2015,12,18
46.159648,9.002659,"t4",2015,12,14
46.159648,9.002659,"t7",2015,12,11
46.159648,9.002659,"t10",2015,12,8
46.159648,9.002659,"t14",2015,12,4
46.159648,9.002659,"t30",2015,11,18
46.159648,9.002659,"t0",2013,12,20
46.159648,9.002659,"t4",2013,12,16
46.159648,9.002659,"t7",2013,12,13
46.159648,9.002659,"t10",2013,12,10
46.159648,9.002659,"t14",2013,12,6
46.159648,9.002659,"t30",2013,11,20
46.159648,9.002659,"t0",2015,12,26
46.159648,9.002659,"t4",2015,12,22
46.159648,9.002659,"t7",2015,12,19
46.159648,9.002659,"t10",2015,12,16
46.159648,9.002659,"t14",2015,12,12
46.159648,9.002659,"t30",2015,11,26
46.159648,9.002659,"t0",2013,12,19
46.159648,9.002659,"t4",2013,12,15
46.159648,9.002659,"t7",2013,12,12
46.159648,9.002659,"t10",2013,12,9
46.159648,9.002659,"t14",2013,12,5
46.159648,9.002659,"t30",2013,11,19
45.927315,9.028099,"t0",2015,5,9
45.927315,9.028099,"t4",2015,5,5
45.927315,9.028099,"t7",2015,5,2
45.927315,9.028099,"t10",2015,4,29
45.927315,9.028099,"t14",2015,4,25
45.927315,9.028099,"t30",2015,4,9
46.159648,9.002659,"t0",2015,12,20
46.159648,9.002659,"t4",2015,12,16
46.159648,9.002659,"t7",2015,12,13
46.159648,9.002659,"t10",2015,12,10
46.159648,9.002659,"t14",2015,12,6
46.159648,9.002659,"t30",2015,11,20
46.174407,8.741555,"t0",2015,5,12
46.174407,8.741555,"t4",2015,5,8
46.174407,8.741555,"t7",2015,5,5
46.174407,8.741555,"t10",2015,5,2
46.174407,8.741555,"t14",2015,4,28
46.174407,8.741555,"t30",2015,4,12
46.159648,9.002659,"t0",2014,3,11
46.159648,9.002659,"t4",2014,3,7
46.159648,9.002659,"t7",2014,3,4
46.159648,9.002659,"t10",2014,3,1
46.159648,9.002659,"t14",2014,2,25
46.159648,9.002659,"t30",2014,2,9
