Lat,Lon,timepoint,year,month,day,SOILMOIST_kgm-21,SURFTEMP_K1,layer,path
43.14604,-4.77378,t30,"2007","7","28",6.42958498001099,,soilmoist_2007-07-28,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2007-07-28.gpkg|layername=soilmoist_2007-07-28
43.14604,-4.77378,t14,"2007","8","13",6.31218528747559,,soilmoist_2007-08-13,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2007-08-13.gpkg|layername=soilmoist_2007-08-13
43.14604,-4.77378,t10,"2007","8","17",6.29674386978149,,soilmoist_2007-08-17,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2007-08-17.gpkg|layername=soilmoist_2007-08-17
43.14604,-4.77378,t7,"2007","8","20",6.34628105163574,,soilmoist_2007-08-20,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2007-08-20.gpkg|layername=soilmoist_2007-08-20
43.14604,-4.77378,t4,"2007","8","23",6.44480085372925,,soilmoist_2007-08-23,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2007-08-23.gpkg|layername=soilmoist_2007-08-23
43.14604,-4.77378,t0,"2007","8","27",6.37246942520142,,soilmoist_2007-08-27,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2007-08-27.gpkg|layername=soilmoist_2007-08-27
46.159648,9.002659,t30,"2013","11","19",6.90167808532715,,soilmoist_2013-11-19,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2013-11-19.gpkg|layername=soilmoist_2013-11-19
46.159648,9.002659,t30,"2013","11","20",6.94420480728149,,soilmoist_2013-11-20,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2013-11-20.gpkg|layername=soilmoist_2013-11-20
46.159648,9.002659,t30,"2013","11","23",6.68470001220703,,soilmoist_2013-11-23,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2013-11-23.gpkg|layername=soilmoist_2013-11-23
46.159648,9.002659,t30,"2013","11","24",6.79043006896973,,soilmoist_2013-11-24,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2013-11-24.gpkg|layername=soilmoist_2013-11-24
46.159648,9.002659,t30,"2013","11","28",6.50319290161133,,soilmoist_2013-11-28,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2013-11-28.gpkg|layername=soilmoist_2013-11-28
46.159648,9.002659,t30,"2013","12","3",6.37335824966431,,soilmoist_2013-12-03,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2013-12-03.gpkg|layername=soilmoist_2013-12-03
46.159648,9.002659,t14,"2013","12","5",6.28794479370117,,soilmoist_2013-12-05,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2013-12-05.gpkg|layername=soilmoist_2013-12-05
46.159648,9.002659,t14,"2013","12","6",6.24007940292358,,soilmoist_2013-12-06,D:/01_GradSchool\_DissertationWork\Chapter4\03_code\Weather2.0\outputs\soilmoist_2013-12-06.gpkg|layername=soilmoist_2013-12-06
