"Lat","Lon","timepoint","year","month","day"
46.159648,9.002659,"t30",2015,11,18
46.159648,9.002659,"t60",2015,10,19
46.159648,9.002659,"t30",2013,11,20
46.159648,9.002659,"t60",2013,10,21
46.159648,9.002659,"t30",2015,11,26
46.159648,9.002659,"t60",2015,10,27
46.159648,9.002659,"t30",2013,11,19
46.159648,9.002659,"t60",2013,10,20
45.927315,9.028099,"t30",2015,4,9
45.927315,9.028099,"t60",2015,3,10
46.159648,9.002659,"t30",2015,11,20
46.159648,9.002659,"t60",2015,10,21
46.174407,8.741555,"t30",2015,4,12
46.174407,8.741555,"t60",2015,3,13
46.159648,9.002659,"t30",2014,2,9
46.159648,9.002659,"t60",2014,1,10
46.159648,9.002659,"t30",2013,11,23
46.159648,9.002659,"t60",2013,10,24
46.159648,9.002659,"t30",2013,11,28
46.159648,9.002659,"t60",2013,10,29
46.159648,9.002659,"t30",2015,11,22
46.159648,9.002659,"t60",2015,10,23
46.159648,9.002659,"t30",2015,12,3
46.159648,9.002659,"t60",2015,11,3
46.159648,9.002659,"t30",2014,11,14
46.159648,9.002659,"t60",2014,10,15
46.159648,9.002659,"t30",2015,12,6
46.159648,9.002659,"t60",2015,11,6
46.159648,9.002659,"t30",2015,11,17
46.159648,9.002659,"t60",2015,10,18
46.274131,8.7741,"t30",2014,12,12
46.274131,8.7741,"t60",2014,11,12
46.159648,9.002659,"t30",2013,11,24
46.159648,9.002659,"t60",2013,10,25
45.927315,9.028099,"t30",2015,4,12
45.927315,9.028099,"t60",2015,3,13
46.174407,8.741555,"t30",2015,4,9
46.174407,8.741555,"t60",2015,3,10
46.159648,9.002659,"t30",2013,12,3
46.159648,9.002659,"t60",2013,11,3
46.159648,9.002659,"t30",2014,2,12
46.159648,9.002659,"t60",2014,1,13
51.099426,6.167827,"t30",2017,6,6
51.099426,6.167827,"t60",2017,5,7
50.747077,6.366395,"t30",2019,3,3
50.747077,6.366395,"t60",2019,2,1
49.314267,9.299841,"t30",2018,9,28
49.314267,9.299841,"t60",2018,8,29
50.266289,6.359245,"t30",2019,4,16
50.266289,6.359245,"t60",2019,3,17
51.413459,7.043988,"t30",2017,8,9
51.413459,7.043988,"t60",2017,7,10
51.439667,7.423111,"t30",2020,1,3
51.439667,7.423111,"t60",2019,12,4
51.418056,7.250944,"t30",2019,4,10
51.418056,7.250944,"t60",2019,3,11
50.562297,6.279368,"t30",2017,4,5
50.562297,6.279368,"t60",2017,3,6
51.437,7.257333,"t30",2018,4,17
51.437,7.257333,"t60",2018,3,18
50.75414,6.307838,"t30",2018,5,22
50.75414,6.307838,"t60",2018,4,22
50.75414,6.307838,"t30",2018,3,11
50.75414,6.307838,"t60",2018,2,9
49.880861,6.338427,"t30",2018,3,5
49.880861,6.338427,"t60",2018,2,3
50.735089,6.359651,"t30",2018,2,10
50.735089,6.359651,"t60",2018,1,11
51.403281,6.995988,"t30",2019,4,17
51.403281,6.995988,"t60",2019,3,18
49.856404,6.448138,"t30",2018,2,13
49.856404,6.448138,"t60",2018,1,14
50.735368,6.294149,"t30",2015,3,12
50.735368,6.294149,"t60",2015,2,10
50.525597,6.787115,"t30",2018,4,13
50.525597,6.787115,"t60",2018,3,14
50.747069,6.366387,"t30",2017,3,7
50.747069,6.366387,"t60",2017,2,5
51.429405,7.387315,"t30",2019,3,31
51.429405,7.387315,"t60",2019,3,1
50.215607,6.32883,"t30",2017,2,16
50.215607,6.32883,"t60",2017,1,17
50.595878,6.266865,"t30",2018,4,7
50.595878,6.266865,"t60",2018,3,8
50.70178,6.270098,"t30",2018,3,11
50.70178,6.270098,"t60",2018,2,9
51.541882,6.833255,"t30",2019,4,2
51.541882,6.833255,"t60",2019,3,3
51.403281,6.995988,"t30",2019,2,19
51.403281,6.995988,"t60",2019,1,20
50.009568,6.888018,"t30",2019,3,10
50.009568,6.888018,"t60",2019,2,8
50.746724,6.232078,"t30",2016,3,19
50.746724,6.232078,"t60",2016,2,18
50.747071,6.366389,"t30",2019,3,3
50.747071,6.366389,"t60",2019,2,1
50.726667,6.323306,"t30",2019,3,11
